^Dadduser	3.137ubuntu1
apt	2.8.3
autoconf	2.71-3
automake	1:1.16.5-1.3ubuntu1
autotools-dev	20220109.1
base-files	13ubuntu10.4
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
binutils-common:amd64	2.42-4ubuntu2.10
bsdutils	1:2.39.3-9ubuntu6.5
ca-certificates	20260601~24.04.1
cmake	3.28.3-1build7
cmake-data	3.28.3-1build7
comerr-dev:amd64	2.1-1.47.0-2.4~exp1ubuntu4.1
coreutils	9.4-3ubuntu6.2
curl	8.5.0-2ubuntu10.11
dash	0.5.12-6ubuntu5
debconf	1.5.86ubuntu1
debianutils	5.17build1
default-libmysqlclient-dev:amd64	1.1.0build1
diffutils	1:3.10-1build1
dirmngr	2.4.4-2ubuntu17.4
dpkg	1.22.6ubuntu6.6
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
findutils	4.9.0-5build1
fontconfig	2.15.0-1.1ubuntu2
fontconfig-config	2.15.0-1.1ubuntu2
fonts-dejavu-core	2.37-8
fonts-dejavu-mono	2.37-8
gcc-13-base:amd64	13.3.0-6ubuntu2~24.04.1
gcc-14-base:amd64	14.2.0-4ubuntu2~24.04.1
gdal-data	3.8.4+dfsg-3ubuntu3
gdal-plugins:amd64	3.8.4+dfsg-3ubuntu3
gnupg	2.4.4-2ubuntu17.4
gnupg-utils	2.4.4-2ubuntu17.4
gpg	2.4.4-2ubuntu17.4
gpg-agent	2.4.4-2ubuntu17.4
gpgconf	2.4.4-2ubuntu17.4
gpgsm	2.4.4-2ubuntu17.4
gpgv	2.4.4-2ubuntu17.4
grep	3.11-4build1
gz-harmonic	1.0.0-1~noble
gz-launch7-cli	7.1.2-1~noble
gz-plugin2-cli	2.0.4-1~noble
gz-sim8-cli	8.15.0-1~noble
gz-tools2:amd64	2.0.3-2~noble
gz-transport13-cli	13.5.0-1~noble
gzip	1.12-1ubuntu3.2
hdf5-helpers	1.10.10+repack-3.1ubuntu4
hostname	3.23+nmu2ubuntu2
icu-devtools	74.2-1ubuntu3.1
init-system-helpers	1.66ubuntu1
keyboxd	2.4.4-2ubuntu17.4
krb5-multidev:amd64	1.20.1-6ubuntu2.8
libacl1:amd64	2.3.2-1build1.1
libaec-dev:amd64	1.1.2-1build1
libaec0:amd64	1.1.2-1build1
libaom-dev:amd64	3.8.2-2ubuntu0.1
libaom3:amd64	3.8.2-2ubuntu0.1
libapparmor1:amd64	4.0.1really4.0.1-0ubuntu0.24.04.7
libapt-pkg6.0t64:amd64	2.8.3
libarchive13t64:amd64	3.7.2-2ubuntu0.8
libarmadillo-dev	1:12.6.7+dfsg-1build2
libarmadillo12	1:12.6.7+dfsg-1build2
libarpack2-dev:amd64	3.9.1-1.1build2
libarpack2t64:amd64	3.9.1-1.1build2
libasan8:amd64	14.2.0-4ubuntu2~24.04.1
libasound2-data	1.2.11-1ubuntu0.3
libasound2t64:amd64	1.2.11-1ubuntu0.3
libass9:amd64	1:0.17.1-2build1
libassimp-dev:amd64	5.3.1+ds-2build1
libassimp5:amd64	5.3.1+ds-2build1
libassuan0:amd64	2.5.6-1build1
libasyncns0:amd64	0.8-6build4
libatomic1:amd64	14.2.0-4ubuntu2~24.04.1
libattr1:amd64	1:2.5.2-1build1.1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1:amd64	1:3.1.2-2.1build1.1
libavahi-client3:amd64	0.8-13ubuntu6.2
libavahi-common-data:amd64	0.8-13ubuntu6.2
libavahi-common3:amd64	0.8-13ubuntu6.2
libavc1394-0:amd64	0.5.4-5build3
libavcodec-dev:amd64	7:6.1.1-3ubuntu5
libavcodec60:amd64	7:6.1.1-3ubuntu5
libavdevice-dev:amd64	7:6.1.1-3ubuntu5
libavdevice60:amd64	7:6.1.1-3ubuntu5
libavfilter-dev:amd64	7:6.1.1-3ubuntu5
libavfilter9:amd64	7:6.1.1-3ubuntu5
libavformat-dev:amd64	7:6.1.1-3ubuntu5
libavformat60:amd64	7:6.1.1-3ubuntu5
libavutil-dev:amd64	7:6.1.1-3ubuntu5
libavutil58:amd64	7:6.1.1-3ubuntu5
libbinutils:amd64	2.42-4ubuntu2.10
libblas-dev:amd64	3.12.0-3build1.1
libblas3:amd64	3.12.0-3build1.1
libblkid-dev:amd64	2.39.3-9ubuntu6.5
libblkid1:amd64	2.39.3-9ubuntu6.5
