run_id,seed,simulator,vehicle,task_id,task_portable,policy_id,algorithm,return,success,episode_length,wall_clock_s,termination_reason,collision_type,host_class
test__test__PPO-deterministic__seed-42026,42026,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,213.78159854252107,True,2038,335.59486958303023,success,none,local
test__test__PPO-deterministic__seed-42027,42027,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,200.05786855242872,True,1946,289.4000900409883,success,none,local
test__test__PPO-deterministic__seed-42028,42028,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,172.05026668726896,True,2358,284.80354637495475,success,none,local
test__test__PPO-deterministic__seed-42029,42029,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,97.25082808789846,False,3000,336.13967512495583,timeout,none,local
test__test__PPO-deterministic__seed-42030,42030,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-260.2476455608603,False,3000,334.1029731669696,timeout,none,local
test__test__PPO-deterministic__seed-42031,42031,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,77.75385204996884,False,3000,322.36976816598326,timeout,none,local
test__test__PPO-deterministic__seed-42032,42032,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-74.8216781018123,False,3000,325.26393945806194,timeout,none,local
test__test__PPO-deterministic__seed-42033,42033,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,216.5482931570947,True,1970,216.79920145892538,success,none,local
test__test__PPO-deterministic__seed-42034,42034,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-75.40842603437784,False,1,6.879503375035711,instability,none,local
test__test__PPO-deterministic__seed-42035,42035,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,93.13297821029398,True,2778,296.5653107089456,success,none,local
test__test__PPO-deterministic__seed-42036,42036,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,158.14966691702983,True,2196,230.75610445800703,success,none,local
test__test__PPO-deterministic__seed-42037,42037,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,44.183156362926454,False,3000,311.4342170840828,timeout,none,local
test__test__PPO-deterministic__seed-42038,42038,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-25.530095823174904,False,3000,309.09580970800016,timeout,none,local
