run_id,seed,simulator,vehicle,task_id,task_portable,policy_id,algorithm,return,success,episode_length,wall_clock_s,termination_reason,collision_type,host_class
test__test__PPO-deterministic__seed-42000,42000,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.060532182791665,False,3000,18.71338353678584,timeout,none,cluster
test__test__PPO-deterministic__seed-42001,42001,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.123411394772496,False,3000,9.664264343678951,timeout,none,cluster
test__test__PPO-deterministic__seed-42002,42002,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.764252901213966,False,3000,9.760371275246143,timeout,none,cluster
test__test__PPO-deterministic__seed-42003,42003,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.208198987270272,False,3000,9.343366134911776,timeout,none,cluster
test__test__PPO-deterministic__seed-42004,42004,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.137990847180145,False,3000,9.502456475049257,timeout,none,cluster
test__test__PPO-deterministic__seed-42005,42005,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.198600209353618,False,3000,10.628900166600943,timeout,none,cluster
test__test__PPO-deterministic__seed-42006,42006,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.942493967902134,False,3000,9.05435899272561,timeout,none,cluster
test__test__PPO-deterministic__seed-42007,42007,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.721345021165371,False,3000,9.964666806161404,timeout,none,cluster
test__test__PPO-deterministic__seed-42008,42008,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.096301888850522,False,3000,9.749301694333553,timeout,none,cluster
test__test__PPO-deterministic__seed-42009,42009,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.123210993301814,False,3000,10.33373798057437,timeout,none,cluster
test__test__PPO-deterministic__seed-42010,42010,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.936043664456616,False,3000,9.205177538096905,timeout,none,cluster
test__test__PPO-deterministic__seed-42011,42011,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.222911278215184,False,3000,9.372947487980127,timeout,none,cluster
test__test__PPO-deterministic__seed-42012,42012,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.933625355090838,False,3000,9.587244734168053,timeout,none,cluster
test__test__PPO-deterministic__seed-42013,42013,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.203477777816536,False,3000,9.695541739463806,timeout,none,cluster
test__test__PPO-deterministic__seed-42014,42014,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.977926261858,False,3000,9.597256440669298,timeout,none,cluster
test__test__PPO-deterministic__seed-42015,42015,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.848263396726477,False,3000,9.830191221088171,timeout,none,cluster
test__test__PPO-deterministic__seed-42016,42016,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.84303625554232,False,3000,10.248454883694649,timeout,none,cluster
test__test__PPO-deterministic__seed-42017,42017,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.917690624570849,False,3000,10.130301151424646,timeout,none,cluster
test__test__PPO-deterministic__seed-42018,42018,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.052777959035161,False,3000,10.149937476962805,timeout,none,cluster
test__test__PPO-deterministic__seed-42019,42019,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.078053604348312,False,3000,10.853138279169798,timeout,none,cluster
test__test__PPO-deterministic__seed-42020,42020,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.036793129852079,False,3000,10.866722151637077,timeout,none,cluster
test__test__PPO-deterministic__seed-42021,42021,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.910969039955024,False,3000,9.424301818013191,timeout,none,cluster
test__test__PPO-deterministic__seed-42022,42022,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.151493164259353,False,3000,10.475599348545074,timeout,none,cluster
test__test__PPO-deterministic__seed-42023,42023,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.996782878046435,False,3000,10.421005502343178,timeout,none,cluster
test__test__PPO-deterministic__seed-42024,42024,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.130590299230276,False,3000,9.893263958394527,timeout,none,cluster
test__test__PPO-deterministic__seed-42025,42025,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.867943127915261,False,3000,11.167846448719501,timeout,none,cluster
test__test__PPO-deterministic__seed-42026,42026,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.008162190850433,False,3000,10.145339667797089,timeout,none,cluster
test__test__PPO-deterministic__seed-42027,42027,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.123277637322278,False,3000,10.443961322307587,timeout,none,cluster
test__test__PPO-deterministic__seed-42028,42028,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.916459206628238,False,3000,11.039588414132595,timeout,none,cluster
test__test__PPO-deterministic__seed-42029,42029,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.150962816403418,False,3000,10.13245776295662,timeout,none,cluster
test__test__PPO-deterministic__seed-42030,42030,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.932704596023628,False,3000,10.267644234001637,timeout,none,cluster
test__test__PPO-deterministic__seed-42031,42031,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.33518706312631,False,3000,10.723034217953682,timeout,none,cluster
test__test__PPO-deterministic__seed-42032,42032,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.846282609101324,False,3000,11.070441976189613,timeout,none,cluster
test__test__PPO-deterministic__seed-42033,42033,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.256108122309346,False,3000,11.040311511605978,timeout,none,cluster
test__test__PPO-deterministic__seed-42034,42034,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.106834345908096,False,3000,10.523713566362858,timeout,none,cluster
test__test__PPO-deterministic__seed-42035,42035,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.909645205958002,False,3000,10.36023261398077,timeout,none,cluster
test__test__PPO-deterministic__seed-42036,42036,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.314628390691155,False,3000,9.957220692187548,timeout,none,cluster
test__test__PPO-deterministic__seed-42037,42037,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.842325068605541,False,3000,10.91873824596405,timeout,none,cluster
test__test__PPO-deterministic__seed-42038,42038,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.13583808799114,False,3000,10.318339999765158,timeout,none,cluster
test__test__PPO-deterministic__seed-42039,42039,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.135900045425469,False,3000,10.889934167265892,timeout,none,cluster
test__test__PPO-deterministic__seed-42040,42040,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.125593243612197,False,3000,11.1588319465518,timeout,none,cluster
test__test__PPO-deterministic__seed-42041,42041,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.280808971876679,False,3000,10.126543454825878,timeout,none,cluster
test__test__PPO-deterministic__seed-42042,42042,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.934154962574436,False,3000,11.059413652867079,timeout,none,cluster
test__test__PPO-deterministic__seed-42043,42043,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.249850085419023,False,3000,10.43018214777112,timeout,none,cluster
test__test__PPO-deterministic__seed-42044,42044,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.183818278282242,False,3000,10.679649692028761,timeout,none,cluster
test__test__PPO-deterministic__seed-42045,42045,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.046960926264397,False,3000,9.777083482593298,timeout,none,cluster
test__test__PPO-deterministic__seed-42046,42046,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.0475263170575,False,3000,11.044997211545706,timeout,none,cluster
test__test__PPO-deterministic__seed-42047,42047,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.317235119761467,False,3000,10.959398668259382,timeout,none,cluster
test__test__PPO-deterministic__seed-42048,42048,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.29132571858839,False,3000,9.643183246254921,timeout,none,cluster
test__test__PPO-deterministic__seed-42049,42049,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.994345038035535,False,3000,9.969011705368757,timeout,none,cluster
test__test__PPO-deterministic__seed-42050,42050,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.83033097701337,False,3000,10.432457510381937,timeout,none,cluster
test__test__PPO-deterministic__seed-42051,42051,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.174659367602246,False,3000,10.674954611808062,timeout,none,cluster
test__test__PPO-deterministic__seed-42052,42052,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.998356391273798,False,3000,9.914514306932688,timeout,none,cluster
test__test__PPO-deterministic__seed-42053,42053,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.914975003107212,False,3000,10.963552992790937,timeout,none,cluster
test__test__PPO-deterministic__seed-42054,42054,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.251441731443148,False,3000,10.47786158695817,timeout,none,cluster
test__test__PPO-deterministic__seed-42055,42055,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.95679348325605,False,3000,11.021749801933765,timeout,none,cluster
test__test__PPO-deterministic__seed-42056,42056,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.0432967718026,False,3000,9.941246204078197,timeout,none,cluster
test__test__PPO-deterministic__seed-42057,42057,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.308051003941925,False,3000,10.320686507970095,timeout,none,cluster
test__test__PPO-deterministic__seed-42058,42058,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.330371012198974,False,3000,10.353438138961792,timeout,none,cluster
test__test__PPO-deterministic__seed-42059,42059,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.20389283936639,False,3000,9.707970462739468,timeout,none,cluster
test__test__PPO-deterministic__seed-42060,42060,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.249300274306256,False,3000,10.585657261312008,timeout,none,cluster
test__test__PPO-deterministic__seed-42061,42061,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.073689764877058,False,3000,10.068186037242413,timeout,none,cluster
test__test__PPO-deterministic__seed-42062,42062,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.39020357280421,False,3000,10.20571918040514,timeout,none,cluster
test__test__PPO-deterministic__seed-42063,42063,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.34798232302176,False,3000,9.63881903141737,timeout,none,cluster
test__test__PPO-deterministic__seed-42064,42064,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.867115340386354,False,3000,11.05113410204649,timeout,none,cluster
test__test__PPO-deterministic__seed-42065,42065,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.113922362744995,False,3000,10.717014133930206,timeout,none,cluster
test__test__PPO-deterministic__seed-42066,42066,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.194871930077106,False,3000,10.890461008995771,timeout,none,cluster
test__test__PPO-deterministic__seed-42067,42067,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.223307085570669,False,3000,10.172107093036175,timeout,none,cluster
test__test__PPO-deterministic__seed-42068,42068,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.86385755456507,False,3000,10.331035409122705,timeout,none,cluster
test__test__PPO-deterministic__seed-42069,42069,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.992880420694629,False,3000,9.904734805226326,timeout,none,cluster
test__test__PPO-deterministic__seed-42070,42070,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.083850965467885,False,3000,10.375866331160069,timeout,none,cluster
test__test__PPO-deterministic__seed-42071,42071,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.21193874637039,False,3000,10.559745479375124,timeout,none,cluster
test__test__PPO-deterministic__seed-42072,42072,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.980235519600592,False,3000,9.792507395148277,timeout,none,cluster
test__test__PPO-deterministic__seed-42073,42073,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.20531208968688,False,3000,11.016767054796219,timeout,none,cluster
test__test__PPO-deterministic__seed-42074,42074,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,10.223015181061266,False,3000,11.046274598687887,timeout,none,cluster
test__test__PPO-deterministic__seed-42075,42075,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.709348648424195,False,3000,10.335785239934921,timeout,none,cluster
