run_id,seed,simulator,vehicle,task_id,task_portable,policy_id,algorithm,return,success,episode_length,wall_clock_s,termination_reason,collision_type,host_class
gazebo-harmonic__surveyor__PPO-deterministic__seed-10000,10000,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,236.52942982643467,True,872,91.67097009718418,success,none,cluster
gazebo-harmonic__surveyor__PPO-deterministic__seed-10001,10001,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,232.36090394997467,True,812,85.63725518062711,success,none,cluster
gazebo-harmonic__surveyor__PPO-deterministic__seed-10002,10002,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,218.61519338935227,True,916,96.09841311350465,success,none,cluster
gazebo-harmonic__surveyor__PPO-deterministic__seed-10003,10003,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,195.21840683069254,True,1006,105.16914655268192,success,none,cluster
gazebo-harmonic__surveyor__PPO-deterministic__seed-10004,10004,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,223.8420058995267,True,756,80.0021393969655,success,none,cluster
gazebo-harmonic__surveyor__PPO-deterministic__seed-10005,10005,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,232.75869897003895,True,790,83.40102910622954,success,none,cluster
gazebo-harmonic__surveyor__PPO-deterministic__seed-10006,10006,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,192.5249164056084,True,1132,117.8210046440363,success,none,cluster
gazebo-harmonic__surveyor__PPO-deterministic__seed-10007,10007,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,212.3284845003488,True,1226,127.31476283073425,success,none,cluster
gazebo-harmonic__surveyor__PPO-deterministic__seed-10008,10008,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,202.18244609708634,True,1524,157.38613450154662,success,none,cluster
gazebo-harmonic__surveyor__PPO-deterministic__seed-10009,10009,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,232.26799652458197,True,758,80.20995673537254,success,none,cluster
gazebo-harmonic__surveyor__PPO-deterministic__seed-10010,10010,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,208.12987064718658,True,902,94.66608149558306,success,none,cluster
gazebo-harmonic__surveyor__PPO-deterministic__seed-10011,10011,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,213.9426515683832,True,766,80.97466177493334,success,none,cluster
gazebo-harmonic__surveyor__PPO-deterministic__seed-10012,10012,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,203.58890189740853,True,1490,153.8559038154781,success,none,cluster
gazebo-harmonic__surveyor__PPO-deterministic__seed-10013,10013,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,225.666122997333,True,758,80.19736528024077,success,none,cluster
gazebo-harmonic__surveyor__PPO-deterministic__seed-10014,10014,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,234.25965399834445,True,876,92.06270796433091,success,none,cluster
gazebo-harmonic__surveyor__PPO-deterministic__seed-10015,10015,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,230.12260968214588,True,972,101.70266358926892,success,none,cluster
