run_id,seed,simulator,vehicle,task_id,task_portable,policy_id,algorithm,return,success,episode_length,wall_clock_s,termination_reason,collision_type,host_class
holoocean__vehicle-a-otter__PPO-deterministic__seed-10000,10000,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,35.50150722763243,False,2400,13.87757233530283,timeout,none,cluster
holoocean__vehicle-a-otter__PPO-deterministic__seed-10001,10001,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-33.99143569410811,False,2400,13.654259402304888,timeout,none,cluster
holoocean__vehicle-a-otter__PPO-deterministic__seed-10002,10002,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,43.89681266081998,False,2400,13.565332185477018,timeout,none,cluster
holoocean__vehicle-a-otter__PPO-deterministic__seed-10003,10003,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-46.27559578383884,False,2400,13.72974008321762,timeout,none,cluster
holoocean__vehicle-a-otter__PPO-deterministic__seed-10004,10004,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,25.837412243988577,False,2400,13.85625210404396,timeout,none,cluster
holoocean__vehicle-a-otter__PPO-deterministic__seed-10005,10005,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,21.3606525781777,False,2400,14.053056597709656,timeout,none,cluster
holoocean__vehicle-a-otter__PPO-deterministic__seed-10006,10006,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,28.3491529621301,False,2400,13.788958344608545,timeout,none,cluster
holoocean__vehicle-a-otter__PPO-deterministic__seed-10007,10007,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,12.757856377799182,False,2400,13.853154096752405,timeout,none,cluster
holoocean__vehicle-a-otter__PPO-deterministic__seed-10008,10008,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,13.263992559243578,False,2400,13.78025845810771,timeout,none,cluster
holoocean__vehicle-a-otter__PPO-deterministic__seed-10009,10009,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,35.50279482995121,False,2400,13.797861367464066,timeout,none,cluster
holoocean__vehicle-a-otter__PPO-deterministic__seed-10010,10010,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,152.29595835032342,True,2176,13.560232143849134,success,none,cluster
holoocean__vehicle-a-otter__PPO-deterministic__seed-10011,10011,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-44.74475839683625,False,2400,13.840487886220217,timeout,none,cluster
holoocean__vehicle-a-otter__PPO-deterministic__seed-10012,10012,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,166.69453684748513,True,2326,13.961595993489027,success,none,cluster
holoocean__vehicle-a-otter__PPO-deterministic__seed-10013,10013,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,153.2507885730947,True,2240,13.390666283667088,success,none,cluster
holoocean__vehicle-a-otter__PPO-deterministic__seed-10014,10014,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,158.923892251546,True,2386,13.706356924027205,success,none,cluster
holoocean__vehicle-a-otter__PPO-deterministic__seed-10015,10015,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,15.784192184012474,False,2400,13.72033055871725,timeout,none,cluster
holoocean__vehicle-a-otter__PPO-deterministic__seed-10016,10016,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,2.5827423963903495,False,2400,13.983923714607954,timeout,none,cluster
holoocean__vehicle-a-otter__PPO-deterministic__seed-10017,10017,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,14.949300865017165,False,2400,13.853317346423864,timeout,none,cluster
holoocean__vehicle-a-otter__PPO-deterministic__seed-10018,10018,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,15.910859650114118,False,2400,14.071643952280283,timeout,none,cluster
