run_id,seed,simulator,vehicle,task_id,task_portable,policy_id,algorithm,return,success,episode_length,wall_clock_s,termination_reason,collision_type,host_class
stonefish__vehicle-a-otter__PPO-deterministic__seed-10000,10000,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,224.53979472750487,True,762,5.361997116357088,success,none,cluster
stonefish__vehicle-a-otter__PPO-deterministic__seed-10001,10001,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,213.82152890272886,True,900,5.516710393130779,success,none,cluster
stonefish__vehicle-a-otter__PPO-deterministic__seed-10002,10002,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,231.34438326948202,True,784,5.323397167026997,success,none,cluster
stonefish__vehicle-a-otter__PPO-deterministic__seed-10003,10003,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,212.1336811561365,True,962,5.7254232577979565,success,none,cluster
stonefish__vehicle-a-otter__PPO-deterministic__seed-10004,10004,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,227.87202957370295,True,784,5.297086000442505,success,none,cluster
stonefish__vehicle-a-otter__PPO-deterministic__seed-10005,10005,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-0.6603101043150446,False,738,5.285569384694099,instability,none,cluster
stonefish__vehicle-a-otter__PPO-deterministic__seed-10006,10006,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,229.99450433407964,True,788,5.316480986773968,success,none,cluster
stonefish__vehicle-a-otter__PPO-deterministic__seed-10007,10007,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,204.3488632984115,True,784,5.308151416480541,success,none,cluster
stonefish__vehicle-a-otter__PPO-deterministic__seed-10008,10008,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,246.98888230707553,True,844,5.505287781357765,success,none,cluster
stonefish__vehicle-a-otter__PPO-deterministic__seed-10009,10009,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,220.4187611125225,True,714,5.185313172638416,success,none,cluster
stonefish__vehicle-a-otter__PPO-deterministic__seed-10010,10010,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,225.3080814112106,True,770,5.312544520944357,success,none,cluster
stonefish__vehicle-a-otter__PPO-deterministic__seed-10011,10011,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,228.5159482045519,True,794,5.3844547644257545,success,none,cluster
stonefish__vehicle-a-otter__PPO-deterministic__seed-10012,10012,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,227.2315277756023,True,762,5.295486934483051,success,none,cluster
stonefish__vehicle-a-otter__PPO-deterministic__seed-10013,10013,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-121.9987372570912,False,550,4.991132482886314,instability,none,cluster
stonefish__vehicle-a-otter__PPO-deterministic__seed-10014,10014,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,226.45608166266868,True,780,5.324636768549681,success,none,cluster
stonefish__vehicle-a-otter__PPO-deterministic__seed-10015,10015,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,207.35185299192364,True,810,5.341584179550409,success,none,cluster
stonefish__vehicle-a-otter__PPO-deterministic__seed-10016,10016,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-7.566613681530015,False,562,5.061305362731218,instability,none,cluster
stonefish__vehicle-a-otter__PPO-deterministic__seed-10017,10017,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,236.70626252092973,True,770,5.279055420309305,success,none,cluster
