run_id,seed,simulator,vehicle,task_id,task_portable,policy_id,algorithm,return,success,episode_length,wall_clock_s,termination_reason,collision_type,host_class
gazebo-harmonic__surveyor__PPO-deterministic__seed-10000,10000,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,342.90659528145903,True,1204,127.65553708304651,success,none,local
gazebo-harmonic__surveyor__PPO-deterministic__seed-10001,10001,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,276.7545707461837,True,1992,206.91250658303034,success,none,local
gazebo-harmonic__surveyor__PPO-deterministic__seed-10002,10002,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,111.08783827849484,False,3000,309.3150507500395,timeout,none,local
gazebo-harmonic__surveyor__PPO-deterministic__seed-10003,10003,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,304.81154405896444,True,1958,203.7616002499708,success,none,local
gazebo-harmonic__surveyor__PPO-deterministic__seed-10004,10004,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,336.44384503422054,True,1652,173.68197704199702,success,none,local
gazebo-harmonic__surveyor__PPO-deterministic__seed-10005,10005,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,322.84176225424073,True,1678,175.6355881249765,success,none,local
gazebo-harmonic__surveyor__PPO-deterministic__seed-10006,10006,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,303.6647718164206,True,1834,191.61536579200765,success,none,local
gazebo-harmonic__surveyor__PPO-deterministic__seed-10007,10007,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,297.7113044214476,True,2324,240.8305760420044,success,none,local
gazebo-harmonic__surveyor__PPO-deterministic__seed-10008,10008,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,324.90014907360353,True,1802,188.54087066598004,success,none,local
gazebo-harmonic__surveyor__PPO-deterministic__seed-10009,10009,gazebo-harmonic,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,297.9644870696137,True,2124,221.07418020797195,success,none,local
