run_id,seed,simulator,vehicle,task_id,task_portable,policy_id,algorithm,return,success,episode_length,wall_clock_s,termination_reason,collision_type,host_class
test__test__PPO-deterministic__seed-10000,10000,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,8.827191948514635,False,3000,18.40080975741148,timeout,none,cluster
test__test__PPO-deterministic__seed-10001,10001,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-17.677305073848697,False,3000,18.032234244048595,timeout,none,cluster
test__test__PPO-deterministic__seed-10002,10002,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,6.626985716286992,False,3000,17.793041985481977,timeout,none,cluster
test__test__PPO-deterministic__seed-10003,10003,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-53.344500489750565,False,3000,17.719731967896223,timeout,none,cluster
test__test__PPO-deterministic__seed-10004,10004,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-18.276448845231997,False,3000,18.489316564053297,timeout,none,cluster
test__test__PPO-deterministic__seed-10005,10005,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-1.8152452229308178,False,3000,18.033026292920113,timeout,none,cluster
test__test__PPO-deterministic__seed-10006,10006,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-148.25715759842575,False,3000,18.515137445181608,timeout,none,cluster
test__test__PPO-deterministic__seed-10007,10007,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-32.327591620955396,False,3000,18.527132220566273,timeout,none,cluster
test__test__PPO-deterministic__seed-10008,10008,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,108.52760079242704,False,3000,17.601033832877874,timeout,none,cluster
test__test__PPO-deterministic__seed-10009,10009,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-1.7951598280556098,False,3000,18.160593554377556,timeout,none,cluster
