run_id,seed,simulator,vehicle,task_id,task_portable,policy_id,algorithm,return,success,episode_length,wall_clock_s,termination_reason,collision_type,host_class
test__test__PPO-deterministic__seed-42000,42000,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,193.68393452995258,False,3000,1.885204749996774,timeout,none,local
test__test__PPO-deterministic__seed-42001,42001,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,287.12441337387963,True,2236,1.404943292029202,success,none,local
test__test__PPO-deterministic__seed-42002,42002,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,289.19679906807323,True,1798,1.1269607500871643,success,none,local
test__test__PPO-deterministic__seed-42003,42003,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,297.1877991485719,True,1954,1.2135737499920651,success,none,local
test__test__PPO-deterministic__seed-42004,42004,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,112.32928441199195,False,3000,1.7810307500185445,timeout,none,local
test__test__PPO-deterministic__seed-42005,42005,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,307.0017177378889,True,1866,1.2390556250466034,success,none,local
test__test__PPO-deterministic__seed-42006,42006,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,358.4282200704192,True,1748,1.0953218749491498,success,none,local
test__test__PPO-deterministic__seed-42007,42007,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,348.904780263441,True,2006,1.304485416971147,success,none,local
test__test__PPO-deterministic__seed-42008,42008,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,282.91775151036524,True,1872,1.247364291921258,success,none,local
test__test__PPO-deterministic__seed-42009,42009,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,344.0753045505321,True,1922,1.4000854170881212,success,none,local
test__test__PPO-deterministic__seed-42010,42010,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,301.3931265979917,True,1774,1.2589477909496054,success,none,local
test__test__PPO-deterministic__seed-42011,42011,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,313.43781672793517,True,1914,1.3640202500391752,success,none,local
test__test__PPO-deterministic__seed-42012,42012,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,344.52665825404284,True,1892,1.2819163750391454,success,none,local
test__test__PPO-deterministic__seed-42013,42013,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,279.9261832637353,True,1860,1.2126559170428663,success,none,local
test__test__PPO-deterministic__seed-42014,42014,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,331.15856740755316,True,1838,1.2211137500125915,success,none,local
test__test__PPO-deterministic__seed-42015,42015,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,208.73710661235805,False,3000,1.9797510410426185,timeout,none,local
test__test__PPO-deterministic__seed-42016,42016,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,289.492839491248,True,1892,1.3288743749726564,success,none,local
test__test__PPO-deterministic__seed-42017,42017,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,303.2167221535182,True,1982,1.353045333060436,success,none,local
test__test__PPO-deterministic__seed-42018,42018,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,118.75510272159512,False,3000,2.019675250048749,timeout,none,local
test__test__PPO-deterministic__seed-42019,42019,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,274.9868324354519,True,1976,1.346839457983151,success,none,local
