run_id,seed,simulator,vehicle,task_id,task_portable,policy_id,algorithm,return,success,episode_length,wall_clock_s,termination_reason,collision_type,host_class
test__test__PPO-deterministic__seed-42000,42000,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,353.8453732253721,True,1812,6.636588029563427,success,none,cluster
test__test__PPO-deterministic__seed-42001,42001,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,335.8142534919451,True,1790,6.604359824210405,success,none,cluster
test__test__PPO-deterministic__seed-42002,42002,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-7.201367965048036,False,542,4.911400031298399,instability,none,cluster
test__test__PPO-deterministic__seed-42003,42003,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,333.9937747253506,True,1722,6.485701195895672,success,none,cluster
test__test__PPO-deterministic__seed-42004,42004,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,344.30172594056774,True,1846,6.685735385864973,success,none,cluster
test__test__PPO-deterministic__seed-42005,42005,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,342.68234859937024,True,1660,6.40674102306366,success,none,cluster
test__test__PPO-deterministic__seed-42006,42006,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-7.621383082693711,False,546,4.930196415632963,instability,none,cluster
test__test__PPO-deterministic__seed-42007,42007,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,344.35728618778296,True,1678,6.44288881868124,success,none,cluster
test__test__PPO-deterministic__seed-42008,42008,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,311.06839872965895,True,1752,6.548701863735914,success,none,cluster
test__test__PPO-deterministic__seed-42009,42009,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,5.006067901185361,False,474,4.836510717868805,instability,none,cluster
test__test__PPO-deterministic__seed-42010,42010,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,310.0420041107936,True,1740,6.535980518907309,success,none,cluster
test__test__PPO-deterministic__seed-42011,42011,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,351.3454275466471,True,1658,6.402756351977587,success,none,cluster
test__test__PPO-deterministic__seed-42012,42012,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-82.06720457596131,False,410,4.738991387188435,instability,none,cluster
test__test__PPO-deterministic__seed-42013,42013,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,309.59180410287456,True,1744,6.522083610296249,success,none,cluster
test__test__PPO-deterministic__seed-42014,42014,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,352.45535340696813,True,1520,6.228818845003843,success,none,cluster
test__test__PPO-deterministic__seed-42015,42015,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,343.4444277952107,True,1666,6.43042179942131,success,none,cluster
test__test__PPO-deterministic__seed-42016,42016,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,382.53594723884237,True,1482,6.176070142537355,success,none,cluster
test__test__PPO-deterministic__seed-42017,42017,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,368.47726684541874,True,1680,6.449114978313446,success,none,cluster
test__test__PPO-deterministic__seed-42018,42018,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-93.33498948207388,False,468,4.823365714401007,instability,none,cluster
test__test__PPO-deterministic__seed-42019,42019,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,355.0676457794027,True,1522,6.236379839479923,success,none,cluster
test__test__PPO-deterministic__seed-42020,42020,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,349.3024818808235,True,1820,6.6615609005093575,success,none,cluster
test__test__PPO-deterministic__seed-42021,42021,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,326.1406468986902,True,1898,6.77544043213129,success,none,cluster
test__test__PPO-deterministic__seed-42022,42022,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-100.46838038503287,False,434,4.790602792054415,instability,none,cluster
test__test__PPO-deterministic__seed-42023,42023,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,349.2632831451584,True,1632,6.397092331200838,success,none,cluster
test__test__PPO-deterministic__seed-42024,42024,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-114.27265699351679,False,732,5.19054314121604,instability,none,cluster
test__test__PPO-deterministic__seed-42025,42025,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-93.54534970959821,False,468,4.836101494729519,instability,none,cluster
test__test__PPO-deterministic__seed-42026,42026,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,358.39098056699703,True,1790,6.60873693972826,success,none,cluster
test__test__PPO-deterministic__seed-42027,42027,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,359.5294511221283,True,1488,6.234468076378107,success,none,cluster
test__test__PPO-deterministic__seed-42028,42028,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,320.2476357286956,True,1728,6.509963054209948,success,none,cluster
test__test__PPO-deterministic__seed-42029,42029,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,4.5886020865676755,False,568,4.952753357589245,instability,none,cluster
test__test__PPO-deterministic__seed-42030,42030,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,365.1129699156923,True,1582,6.333013620227575,success,none,cluster
test__test__PPO-deterministic__seed-42031,42031,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,19.69094259091537,False,492,4.866291128098965,instability,none,cluster
test__test__PPO-deterministic__seed-42032,42032,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-3.3964835352790317,False,544,4.926165342330933,instability,none,cluster
test__test__PPO-deterministic__seed-42033,42033,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,306.4211445698681,True,1746,6.547600112855434,success,none,cluster
test__test__PPO-deterministic__seed-42034,42034,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-5.540980428234704,False,542,4.917056832462549,instability,none,cluster
test__test__PPO-deterministic__seed-42035,42035,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,354.6665314615395,True,1606,6.375525921583176,success,none,cluster
test__test__PPO-deterministic__seed-42036,42036,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,325.65397868232367,True,1714,6.530832275748253,success,none,cluster
test__test__PPO-deterministic__seed-42037,42037,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,341.14597253518673,True,1680,6.4325136579573154,success,none,cluster
test__test__PPO-deterministic__seed-42038,42038,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,334.68085502782975,True,1552,6.282154716551304,success,none,cluster
test__test__PPO-deterministic__seed-42039,42039,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,373.9300558579886,True,1622,6.34445895254612,success,none,cluster
test__test__PPO-deterministic__seed-42040,42040,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,342.34663802619275,True,1698,6.495097495615482,success,none,cluster
test__test__PPO-deterministic__seed-42041,42041,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,362.9856721568479,True,1492,6.199608143419027,success,none,cluster
test__test__PPO-deterministic__seed-42042,42042,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,42.543079874772985,False,854,5.332919847220182,instability,none,cluster
test__test__PPO-deterministic__seed-42043,42043,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,335.0717712663343,True,1684,6.43668732047081,success,none,cluster
test__test__PPO-deterministic__seed-42044,42044,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,333.9312786815128,True,1590,6.31340341642499,success,none,cluster
test__test__PPO-deterministic__seed-42045,42045,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-85.0537199426024,False,412,4.737896628677845,instability,none,cluster
test__test__PPO-deterministic__seed-42046,42046,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,14.806530898506963,False,758,5.21010660007596,instability,none,cluster
test__test__PPO-deterministic__seed-42047,42047,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,19.61348955190182,False,490,4.99685113504529,instability,none,cluster
test__test__PPO-deterministic__seed-42048,42048,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,326.46114490663797,True,1904,6.744200896471739,success,none,cluster
test__test__PPO-deterministic__seed-42049,42049,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,341.32574660245734,True,1650,6.400687295943499,success,none,cluster
test__test__PPO-deterministic__seed-42050,42050,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,338.95032696680505,True,1656,6.415017873048782,success,none,cluster
test__test__PPO-deterministic__seed-42051,42051,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-4.28192656704779,False,536,4.910648059099913,instability,none,cluster
test__test__PPO-deterministic__seed-42052,42052,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,74.40724712021189,False,1098,5.695112496614456,instability,none,cluster
test__test__PPO-deterministic__seed-42053,42053,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-100.50011530973083,False,434,4.814013458788395,instability,none,cluster
test__test__PPO-deterministic__seed-42054,42054,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-4.690943428797468,False,536,4.955318249762058,instability,none,cluster
test__test__PPO-deterministic__seed-42055,42055,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-6.049210379300973,False,540,4.929120127111673,instability,none,cluster
test__test__PPO-deterministic__seed-42056,42056,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,356.6513493388562,True,1620,6.3816987834870815,success,none,cluster
test__test__PPO-deterministic__seed-42057,42057,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,342.9075661057462,True,1722,6.5227991081774235,success,none,cluster
test__test__PPO-deterministic__seed-42058,42058,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,9.902776076660246,False,418,4.750065576285124,instability,none,cluster
test__test__PPO-deterministic__seed-42059,42059,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,351.724044195371,True,1648,6.511973939836025,success,none,cluster
test__test__PPO-deterministic__seed-42060,42060,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,352.40727182135765,True,1726,6.518664967268705,success,none,cluster
test__test__PPO-deterministic__seed-42061,42061,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,345.5211533114619,True,1654,6.447169721126556,success,none,cluster
test__test__PPO-deterministic__seed-42062,42062,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,60.427420833939294,False,1074,5.697081264108419,instability,none,cluster
test__test__PPO-deterministic__seed-42063,42063,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,337.06128170278805,True,1834,6.735262826085091,success,none,cluster
test__test__PPO-deterministic__seed-42064,42064,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,26.794262558362036,False,728,5.182835806161165,instability,none,cluster
test__test__PPO-deterministic__seed-42065,42065,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,324.4799104601053,True,1736,6.713636443018913,success,none,cluster
test__test__PPO-deterministic__seed-42066,42066,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-81.2420901054249,False,410,4.820047687739134,instability,none,cluster
test__test__PPO-deterministic__seed-42067,42067,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,358.3298561085434,True,1512,6.231788717210293,success,none,cluster
test__test__PPO-deterministic__seed-42068,42068,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,70.99725326865612,False,1134,5.9483287036418915,instability,none,cluster
test__test__PPO-deterministic__seed-42069,42069,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,346.2494395974263,True,1696,6.553030703216791,success,none,cluster
test__test__PPO-deterministic__seed-42070,42070,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,352.9450030087594,True,1616,6.422198880463839,success,none,cluster
test__test__PPO-deterministic__seed-42071,42071,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,340.9804850732196,True,1550,6.3697000704705715,success,none,cluster
test__test__PPO-deterministic__seed-42072,42072,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,330.1795663654621,True,1702,6.570572029799223,success,none,cluster
test__test__PPO-deterministic__seed-42073,42073,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,88.7752013755038,False,1048,5.65037389844656,instability,none,cluster
test__test__PPO-deterministic__seed-42074,42074,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,359.64171904231614,True,1516,6.243822820484638,success,none,cluster
test__test__PPO-deterministic__seed-42075,42075,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,325.1269622688284,True,1694,6.555088922381401,success,none,cluster
test__test__PPO-deterministic__seed-42076,42076,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,329.36478945182284,True,1730,6.7673113495111465,success,none,cluster
test__test__PPO-deterministic__seed-42077,42077,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,119.9790159136098,False,1180,5.803247720003128,instability,none,cluster
test__test__PPO-deterministic__seed-42078,42078,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,48.148125987050264,False,660,5.471850886940956,instability,none,cluster
test__test__PPO-deterministic__seed-42079,42079,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-82.07739080808,False,410,4.76349513605237,instability,none,cluster
test__test__PPO-deterministic__seed-42080,42080,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,320.4251748411727,True,1924,6.78307468816638,success,none,cluster
test__test__PPO-deterministic__seed-42081,42081,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-6.321293829135698,False,542,4.97720243036747,instability,none,cluster
test__test__PPO-deterministic__seed-42082,42082,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,343.62986797314704,True,1654,6.45593523606658,success,none,cluster
test__test__PPO-deterministic__seed-42083,42083,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-82.22088030419476,False,410,4.7783830948174,instability,none,cluster
test__test__PPO-deterministic__seed-42084,42084,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,76.60241882596164,False,1104,5.768534023314714,instability,none,cluster
test__test__PPO-deterministic__seed-42085,42085,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-81.02630970784918,False,410,4.844857111573219,instability,none,cluster
test__test__PPO-deterministic__seed-42086,42086,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,121.98628764903862,False,1596,6.401914283633232,instability,none,cluster
test__test__PPO-deterministic__seed-42087,42087,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,313.67545029948457,True,1928,6.788932889699936,success,none,cluster
test__test__PPO-deterministic__seed-42088,42088,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,314.2561850689949,True,1726,6.510572895407677,success,none,cluster
test__test__PPO-deterministic__seed-42089,42089,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,340.41939878113766,True,1602,6.351167626678944,success,none,cluster
test__test__PPO-deterministic__seed-42090,42090,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-85.99491942786447,False,412,4.797954831272364,instability,none,cluster
test__test__PPO-deterministic__seed-42091,42091,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,340.59345557850054,True,1866,7.289952885359526,success,none,cluster
test__test__PPO-deterministic__seed-42092,42092,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-82.066036555749,False,410,4.887842491269112,instability,none,cluster
test__test__PPO-deterministic__seed-42093,42093,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,348.11910528754896,True,1638,6.476509414613247,success,none,cluster
test__test__PPO-deterministic__seed-42094,42094,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-80.27938521004351,False,412,4.753732610493898,instability,none,cluster
test__test__PPO-deterministic__seed-42095,42095,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-79.3227435768249,False,412,4.771561771631241,instability,none,cluster
test__test__PPO-deterministic__seed-42096,42096,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,6.573390359956079,False,704,5.169122774153948,instability,none,cluster
test__test__PPO-deterministic__seed-42097,42097,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,340.85419528807455,True,1680,6.44335924834013,success,none,cluster
test__test__PPO-deterministic__seed-42098,42098,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-86.95397928456025,False,410,4.768890172243118,instability,none,cluster
test__test__PPO-deterministic__seed-42099,42099,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,345.6902110747596,True,1702,6.548853665590286,success,none,cluster
test__test__PPO-deterministic__seed-42100,42100,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,356.5768829548119,True,1600,6.422505557537079,success,none,cluster
test__test__PPO-deterministic__seed-42101,42101,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,335.9931503332296,True,1668,6.449245203286409,success,none,cluster
test__test__PPO-deterministic__seed-42102,42102,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,372.2735851888424,True,1468,6.245991725474596,success,none,cluster
test__test__PPO-deterministic__seed-42103,42103,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-79.30500624137159,False,412,4.76443213224411,instability,none,cluster
test__test__PPO-deterministic__seed-42104,42104,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,14.732309936623025,False,424,4.778259344398975,instability,none,cluster
