"perturbation_axis","vehicle","plant","outcome","bit_identical","first_divergence_step","first_divergence_path","divergence_magnitude","na_reason_or_notes"
"negative-control-unseeded-random","vehicle-a-otter","planar3","negative-control-detected",,5,"row.truth.position_ned_m.0",1.4446207201122423,"Mandatory injected unseeded random perturbation; harness must detect step 5."
"process-restart","vehicle-a-otter","planar3","passed",true,,,0,"Checkpoint serialized, engine disposed, new engine restored, then continued."
"checkpoint-multiple-full-sensors","vehicle-a-otter","planar3","passed",true,,,0,"Full 11-plugin typed sensor stack; checkpoints include mid-episode."
"batch-8-slot-5","vehicle-a-otter","planar3","passed",true,,,0,"Full production physics and sensors in vector slot 5. A prior sweep-only divergence was caused by reusing a mutable action object: the planar actuator path adds appliedWrench, so one slot contaminated later slots. Fresh per-slot/per-step actions remove this harness aliasing; this is not a simulator batch-position property."
"batch-64-slot-37","vehicle-a-otter","planar3","passed",true,,,0,"Full production physics and sensors in vector slot 37. A prior sweep-only divergence was caused by reusing a mutable action object: the planar actuator path adds appliedWrench, so one slot contaminated later slots. Fresh per-slot/per-step actions remove this harness aliasing; this is not a simulator batch-position property."
"worker-crash-recovery","vehicle-a-otter","planar3","passed",true,,,0,"Recovery contract uses serialized checkpoint after disposal; worker transport is covered by worker runner tests."
"sensors-on-vs-off","vehicle-a-otter","planar3","passed",true,,,0,"Compares physical state only; sensor energy is intentionally excluded."
"episode-short","vehicle-a-otter","planar3","passed",true,,,0,"Eight-step short-run prefix under the identical full-duration configuration."
"episode-full-usv-bench-36","vehicle-a-otter","planar3","passed",true,,,0,"Current USV-Bench-36 episode length: 40 steps at 20 Hz."
"backend-node-vs-tensor","vehicle-a-otter","planar3","expected-float-divergence",,16,"reduced_backend_state",1.1102230246251565E-16,"Shared supported Vehicle A planar3 reduced physics contract; production sensor stack is unavailable in tensor backend. The observed float64 difference is machine-epsilon-level (<= Number.EPSILON), consistent with expected non-associativity across independently implemented numeric paths; it is not treated as a defect."
"process-restart","vehicle-a-otter","coupled6","passed",true,,,0,"Checkpoint serialized, engine disposed, new engine restored, then continued."
"checkpoint-multiple-full-sensors","vehicle-a-otter","coupled6","passed",true,,,0,"Full 11-plugin typed sensor stack; checkpoints include mid-episode."
"batch-8-slot-5","vehicle-a-otter","coupled6","passed",true,,,0,"Full production physics and sensors in vector slot 5. A prior sweep-only divergence was caused by reusing a mutable action object: the planar actuator path adds appliedWrench, so one slot contaminated later slots. Fresh per-slot/per-step actions remove this harness aliasing; this is not a simulator batch-position property."
"batch-64-slot-37","vehicle-a-otter","coupled6","passed",true,,,0,"Full production physics and sensors in vector slot 37. A prior sweep-only divergence was caused by reusing a mutable action object: the planar actuator path adds appliedWrench, so one slot contaminated later slots. Fresh per-slot/per-step actions remove this harness aliasing; this is not a simulator batch-position property."
"worker-crash-recovery","vehicle-a-otter","coupled6","passed",true,,,0,"Recovery contract uses serialized checkpoint after disposal; worker transport is covered by worker runner tests."
"sensors-on-vs-off","vehicle-a-otter","coupled6","passed",true,,,0,"Compares physical state only; sensor energy is intentionally excluded."
"episode-short","vehicle-a-otter","coupled6","passed",true,,,0,"Eight-step short-run prefix under the identical full-duration configuration."
"episode-full-usv-bench-36","vehicle-a-otter","coupled6","passed",true,,,0,"Current USV-Bench-36 episode length: 40 steps at 20 Hz."
"backend-node-vs-tensor","vehicle-a-otter","coupled6","not-applicable",,,,,"Tensor backend currently supports only Vehicle A planar3."
"process-restart","vehicle-b-rudder","planar3","not-applicable",,,,,"vehicle-b-rudder production integration requires coupled6."
"checkpoint-multiple-full-sensors","vehicle-b-rudder","planar3","not-applicable",,,,,"vehicle-b-rudder production integration requires coupled6."
