training_simulator,evaluation_condition,run_id,evaluation_seed,evaluation_simulator,vehicle,task_id,policy_id,algorithm,return,success,episode_length,wall_clock_s,termination_reason,collision_type,host_class
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10000,10000,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,249.7089677391994,True,896,1.3384984470903873,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10001,10001,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,237.66243536264577,True,842,1.2503665871918201,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10002,10002,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,244.7036141493261,True,910,1.3527546264231205,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10003,10003,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,238.92936065635098,True,834,1.2417776361107826,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10004,10004,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,233.41679657497588,True,840,1.254994209855795,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10005,10005,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,242.35168049964318,True,864,1.2613870836794376,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10006,10006,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,240.15289506113186,True,892,1.3298664316534996,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10007,10007,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,238.987576157948,True,886,1.324389312416315,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10008,10008,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,240.06617365812104,True,890,1.317301206290722,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10009,10009,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,244.12373303457366,True,884,1.331163626164198,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10010,10010,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,240.92978774502564,True,884,1.2916658446192741,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10011,10011,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,242.44464632737424,True,872,1.315656267106533,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10012,10012,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,244.77823010521172,True,892,1.3322428055107594,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10013,10013,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,245.09127525736108,True,854,1.2682168260216713,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10014,10014,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,235.35017545798627,True,876,1.3187740370631218,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10015,10015,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,238.79623302558042,True,870,1.2856275103986263,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10016,10016,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,242.066163492561,True,868,1.301960527896881,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10017,10017,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,237.0416309446701,True,832,1.2569512501358986,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10018,10018,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,239.38645220961155,True,870,1.3376972042024136,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10019,10019,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,242.33169923233018,True,860,1.2987227104604244,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10020,10020,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,239.01813309201987,True,886,1.3111783266067505,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10021,10021,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,242.26758693058522,True,876,1.3237174712121487,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10022,10022,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,242.9400846750484,True,892,1.3279948644340038,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10023,10023,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,234.1801177920198,True,854,1.2831169180572033,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10024,10024,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,240.94396219242867,True,866,1.292882151901722,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10025,10025,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,237.6770526179742,True,856,1.2774877734482288,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10026,10026,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,239.64630372465484,True,876,1.3030197694897652,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10027,10027,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,244.23261024094535,True,878,1.3295697197318077,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10028,10028,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,242.0095595341022,True,888,1.3192423582077026,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10029,10029,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,234.60228167735767,True,790,1.218052301555872,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10030,10030,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,238.0923477929406,True,852,1.2842070683836937,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10031,10031,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,242.51850232561668,True,828,1.2376746758818626,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10032,10032,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,241.64246082810143,True,880,1.3080022409558296,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10033,10033,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,244.50004911661676,True,868,1.3030002787709236,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10034,10034,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,226.29201009966718,True,950,1.3979478068649769,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10035,10035,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,245.7852785290623,True,858,1.2814902365207672,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10036,10036,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,240.3303555256856,True,898,1.317091941833496,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10037,10037,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,238.51451696808107,True,850,1.2767228037118912,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10038,10038,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,242.94608237593627,True,860,1.2932040728628635,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10039,10039,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,242.49865561065428,True,850,1.3029815666377544,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10040,10040,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,241.0413758213202,True,886,1.3333696126937866,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10041,10041,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,245.89371367348605,True,888,1.3218633830547333,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10042,10042,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,244.27462407756147,True,888,1.3513375408947468,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10043,10043,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,235.1050865847291,True,872,1.3301772102713585,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10044,10044,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,233.66641351512646,True,890,1.3318031169474125,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10045,10045,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,237.52953863308477,True,854,1.2968913987278938,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10046,10046,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,241.51949334095275,True,816,1.240912314504385,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10047,10047,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,239.10557295110766,True,862,1.2990124337375164,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10048,10048,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,243.3776036345676,True,856,1.2615668773651123,success,none,cluster
bcod-sim,nominal,node__surveyor__PPO-deterministic__seed-10049,10049,node,surveyor,common-waypoint-transit-v1,True,PPO-deterministic,PPO,242.23827836381878,True,864,1.3032641857862473,success,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10000,10000,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,35.50150722763243,False,2400,13.87757233530283,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10001,10001,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-33.99143569410811,False,2400,13.654259402304888,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10002,10002,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,43.89681266081998,False,2400,13.565332185477018,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10003,10003,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-46.27559578383884,False,2400,13.72974008321762,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10004,10004,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,25.837412243988577,False,2400,13.85625210404396,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10005,10005,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,21.3606525781777,False,2400,14.053056597709656,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10006,10006,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,28.3491529621301,False,2400,13.788958344608545,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10007,10007,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,12.757856377799182,False,2400,13.853154096752405,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10008,10008,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,13.263992559243578,False,2400,13.78025845810771,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10009,10009,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,35.50279482995121,False,2400,13.797861367464066,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10010,10010,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,152.29595835032342,True,2176,13.560232143849134,success,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10011,10011,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-44.74475839683625,False,2400,13.840487886220217,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10012,10012,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,166.69453684748513,True,2326,13.961595993489027,success,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10013,10013,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,153.2507885730947,True,2240,13.390666283667088,success,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10014,10014,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,158.923892251546,True,2386,13.706356924027205,success,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10015,10015,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,15.784192184012474,False,2400,13.72033055871725,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10016,10016,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,2.5827423963903495,False,2400,13.983923714607954,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10017,10017,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,14.949300865017165,False,2400,13.853317346423864,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10018,10018,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,15.910859650114118,False,2400,14.071643952280283,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10019,10019,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,170.94306499134944,True,2162,13.546428240835667,success,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10020,10020,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,165.9006417007724,True,2146,13.736969824880362,success,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10021,10021,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-805.6268762987024,False,2400,13.945093806833029,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10022,10022,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-37.61624576901052,False,2400,13.763152353465557,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10023,10023,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,7.974499973007051,False,2400,13.886120676994324,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10024,10024,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-776.190547068354,False,2400,14.061886619776487,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10025,10025,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,153.28090333724262,True,2366,13.717324309051037,success,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10026,10026,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-34.14947258184795,False,2400,13.99705183506012,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10027,10027,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-51.780465559880994,False,2400,13.954218156635761,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10028,10028,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-760.5014563921026,False,2400,13.829638212919235,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10029,10029,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,34.77635574751097,False,2400,13.73121277615428,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10030,10030,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,12.193066834701135,False,2400,13.846923891454935,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10031,10031,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-41.4666951716364,False,2400,13.780107721686363,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10032,10032,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-12.422969941309436,False,2400,13.772615507245064,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10033,10033,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,162.46658122497107,True,2194,13.463914677500725,success,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10034,10034,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-45.86237310119591,False,2400,13.847534269094467,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10035,10035,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-57.49407356786431,False,2400,13.67953347414732,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10036,10036,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,155.59884063291923,True,2334,13.673356026411057,success,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10037,10037,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-865.8435782398756,False,2400,13.76652992144227,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10038,10038,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,166.86651848306565,True,2340,13.651870861649513,success,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10039,10039,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,165.87438117773166,True,2342,13.85884490609169,success,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10040,10040,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-24.73247017326848,False,2400,13.705318577587605,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10041,10041,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,166.4669994491784,True,2310,13.640010505914688,success,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10042,10042,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-33.91356080110709,False,2400,13.662164576351643,timeout,none,cluster
holoocean,nominal,holoocean__vehicle-a-otter__PPO-deterministic__seed-10043,10043,holoocean,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,165.07160894744231,True,2340,13.619965482503176,success,none,cluster
