control_step,time_s,north_m,east_m,reward
0,0.0,9999.96796971839,9999.858742633834,0.0
1,0.1,9999.969668625363,9999.859251905116,-0.09624308290977832
2,0.2,9999.978089022337,9999.860953280464,0.01850063812990796
3,0.30000000000000004,9999.997523613947,9999.864069195777,0.042576915439085025
4,0.4,10000.031012321473,9999.868755567291,0.07325835285964175
5,0.5,10000.080564769154,9999.875115475099,0.10830207817338541
6,0.6000000000000001,10000.147343525581,9999.883197280771,0.14586245313030755
7,0.7000000000000001,10000.231801783402,9999.89300859106,0.18439459892768228
8,0.8,10000.333817282435,9999.904513280968,0.22264385155590097
9,0.9,10000.452822987267,9999.917618802438,0.25963767109600355
10,1.0,10000.587921692337,9999.932176670989,0.2946529933857445
11,1.1,10000.737986185395,9999.947978017732,0.3271843935868968
12,1.2000000000000002,10000.90175494117,9999.964741141335,0.35693358013387966
13,1.3,10001.077902822759,9999.982113560047,0.38375747956374917
14,1.4000000000000001,10001.265098127751,9999.999663755807,0.4076372592569342
15,1.5,10001.4620319636,10000.016878788061,0.4286192107968286
16,1.6,10001.667442902988,10000.033149338158,0.44680277813172037
17,1.7000000000000002,10001.880138578777,10000.04773371763,0.46233120985878134
18,1.8,10002.098959976534,10000.059758805608,0.47527224030476284
19,1.9000000000000001,10002.322766926649,10000.068177793359,0.4856574949808236
20,2.0,10002.550377498701,10000.071755805406,0.4933854901470162
21,2.1,10002.78048800055,10000.06907009214,0.49817958883601515
22,2.2,10003.011579134545,10000.05852725769,0.4995573903138216
23,2.3000000000000003,10003.24180454321,10000.038434008231,0.4956254824216942
24,2.4000000000000004,10003.468894003217,10000.0071400327,0.48597264841318255
25,2.5,10003.690123983406,9999.963250705736,0.46979585370541366
26,2.6,10003.902382208107,9999.90591082848,0.4462666696928238
27,2.7,10004.102384940483,9999.835081580528,0.41510125892558103
28,2.8000000000000003,10004.287052920503,9999.751676194153,0.3768718025646763
29,2.9000000000000004,10004.453762668094,9999.657806317195,0.3286416962341846
30,3.0,10004.600634395132,9999.557148764734,0.26882727672761386
31,3.1,10004.727160908826,9999.455111198537,0.210167517971182
32,3.2,10004.835034298254,9999.358534268302,0.17450794005306391
33,3.3000000000000003,10004.9286855318,9999.273983912904,0.15156385866708547
34,3.4000000000000004,10005.014670360306,9999.205875621803,0.14090708202008712
35,3.5,10005.100366907798,9999.156001525775,0.14955570711002122
36,3.6,10005.192421429689,9999.123571891409,0.16817660817361976
37,3.7,10005.295502022998,9999.105857400913,0.19622802391717295
38,3.8000000000000003,10005.412080967215,9999.099405850202,0.2279882891060192
39,3.9000000000000004,10005.542944677876,9999.10100001684,0.26077771906496305
40,4.0,10005.687818819191,9999.10808460038,0.2924169598047918
41,4.1000000000000005,10005.845880144272,9999.118806315377,0.3218549078194812
42,4.2,10006.016064014875,9999.131904312275,0.34869636571691215
43,4.3,10006.197235191408,9999.146557994296,0.3728874597226558
44,4.4,10006.388276687574,9999.162245998097,0.3945364897286226
45,4.5,10006.58813955797,9999.178630886081,0.4138330210851154
46,4.6000000000000005,10006.795854284264,9999.195476487888,0.4309715023203249
47,4.7,10007.010541409883,9999.212586137704,0.44615366994666283
48,4.800000000000001,10007.231417259187,9999.229758023415,0.4595813704700332
49,4.9,10007.457776793382,9999.246759907062,0.4714117135069257
50,5.0,10007.689001686076,9999.263289378907,0.4818065468134628
51,5.1000000000000005,10007.92454312652,9999.278948362895,0.49088088672480173
52,5.2,10008.163907940156,9999.293221006097,0.4987100846178512
53,5.300000000000001,10008.406631178304,9999.30545206729,0.5052996464738061
54,5.4,10008.652254559056,9999.31481950395,0.5105946296036195
55,5.5,10008.90028443148,9999.320310339017,0.5144342256004897
56,5.6000000000000005,10009.150131032071,9999.320691573192,0.516506992393647
57,5.7,10009.401023753358,9999.314494443737,0.5162990869821696
58,5.800000000000001,10009.65188813915,9999.300026555227,0.5130156383904103
59,5.9,10009.901222469302,9999.27542493045,0.5055883773941683
60,6.0,10010.14694286555,9999.238798920664,0.49263501256388476
61,6.1000000000000005,10010.386282183503,9999.188479917097,0.47261744555018687
62,6.2,10010.615673239156,9999.12349424729,0.44209840939279693
63,6.300000000000001,10010.830652070066,9999.04439467281,0.3951286652046283
64,6.4,10011.026296664044,9998.954309807847,0.3239392447130296
65,6.5,10011.19854761906,9998.859711242587,0.2772314025982504
66,6.6000000000000005,10011.346451959316,9998.76960293456,0.22466797745017822
67,6.7,10011.473668957258,9998.69306205043,0.18753355777772143
68,6.800000000000001,10011.58784482367,9998.636956365459,0.17386275052091435
69,6.9,10011.698448921217,9998.604505231431,0.18270222306903205
70,7.0,10011.814050903917,9998.594891972883,0.20236743858339057
71,7.1000000000000005,10011.940368667052,9998.60442351893,0.23329495519073407
72,7.2,10012.080131452265,9998.628677933835,0.26853875825629847
73,7.300000000000001,10012.233899537554,9998.663861776167,0.3035808503985428
74,7.4,10012.400972618987,9998.707260879217,0.33610954957738
75,7.5,10012.580025618285,9998.75721490819,0.3652014048061427
76,7.6000000000000005,10012.76944527202,9998.812918294218,0.3905869501066349
77,7.7,10012.967482935283,9998.874222179542,0.4122472397204847
78,7.800000000000001,10013.172275952671,9998.941479232702,0.43014453849749157
79,7.9,10013.381827850635,9999.015409826787,0.44413748287033034
80,8.0,10013.593929461198,9999.09698379644,0.4538552191159553
81,8.1,10013.806075676826,9999.187282284076,0.45867282840313545
82,8.200000000000001,10014.015370174851,9999.287331496163,0.45766803824902746
83,8.3,10014.218512201187,9999.39786802937,0.44976755294439114
84,8.4,10014.411844720737,9999.519068582234,0.43387416608637086
85,8.5,10014.591449840502,9999.649993025285,0.40381144937527774
86,8.6,10014.753376812845,9999.78762317003,0.35373152008356046
87,8.700000000000001,10014.894638412741,9999.926248912718,0.2945517131380136
88,8.8,10015.01480113766,10000.058097240151,0.27106127174006867
89,8.9,10015.117132164016,10000.175736375444,0.23705456747786635
90,9.0,10015.208027738998,10000.2743830689,0.20901527211084991
91,9.1,10015.295289178004,10000.352559807256,0.1967479632226713
92,9.200000000000001,10015.386442947089,10000.411598905766,0.20065566206540766
93,9.3,10015.48729553823,10000.454917674779,0.21827078096650768
94,9.4,10015.601431128562,10000.486793572556,0.23946725094531549
95,9.5,10015.730725409892,10000.511157531864,0.2777206935551875
96,9.600000000000001,10015.875506230299,10000.531261392609,0.3108516515292005
97,9.700000000000001,10016.035094303827,10000.549462424815,0.3426149901855238
98,9.8,10016.20835088325,10000.567244800852,0.3722241481090861
99,9.9,10016.394001157909,10000.585391194883,0.3992417877609769
100,10.0,10016.590791878976,10000.604174898199,0.4236073650297366
101,10.100000000000001,10016.797554945893,10000.623519213064,0.4454270351920126
102,10.200000000000001,10017.01322449711,10000.643113594757,0.4648649919678909
103,10.3,10017.236831068247,10000.662488051403,0.48208569551461955
104,10.4,10017.467493341983,10000.681055331377,0.49724182589247773
105,10.5,10017.704393060993,10000.69813169933,0.5104326449253951
106,10.600000000000001,10017.946753139213,10000.712940653752,0.521705777044335
107,10.700000000000001,10018.193797657725,10000.72461104788,0.5310145979223293
108,10.8,10018.444760855971,10000.732145928116,0.5383135219053152
109,10.9,10018.698819663,10000.734393129518,0.5433870670690091
110,11.0,10018.955025726484,10000.730012962398,0.5458393187643616
111,11.100000000000001,10019.21217035467,10000.717473519144,0.5449440033382287
112,11.200000000000001,10019.468689087636,10000.695056550054,0.5397182654099717
113,11.3,10019.722472827676,10000.660955626725,0.5287317457353512
114,11.4,10019.97035677177,10000.613651322568,0.49989991565890285
115,11.5,10020.207525093374,10000.552713901972,0.4664317684661513
116,11.600000000000001,10020.428095260197,10000.479609260085,0.41782045063977113
117,11.700000000000001,10020.62636804807,10000.39840788449,0.36512510986006885
118,11.8,10020.798756608297,10000.315703081009,0.31021935754136826
119,11.9,10020.945508511928,10000.2394803893,0.24892801532904532
120,12.0,10021.071144648717,10000.17738298807,0.20643971569100966
121,12.100000000000001,10021.183491333604,10000.134958325389,0.18476437388484146
122,12.200000000000001,10021.291828947593,10000.114902797968,0.18970821992319103
123,12.3,10021.404631273677,10000.116525438252,0.06975025082897493
124,12.4,10021.527603968743,10000.136227006888,0.1139422219354085
125,12.5,10021.663549817093,10000.169659802421,0.15694450635148954
126,12.600000000000001,10021.813178925244,10000.213057510606,0.19609157318357306
127,12.700000000000001,10021.975976406324,10000.263670458333,0.23076131986647413
128,12.8,10022.150817356547,10000.319727160515,0.26129533102858815
129,12.9,10022.336309244736,10000.380247253914,0.2883435139693291
130,13.0,10022.530959182994,10000.444849931486,0.31257064978773363
131,13.100000000000001,10022.733232260798,10000.5136053021,0.3345378336416725
132,13.200000000000001,10022.941544353544,10000.58693493342,0.3546637747953251
133,13.3,10023.154227892868,10000.665537558738,0.37321437202849894
134,13.4,10023.369470259919,10000.750324037468,0.3902685250712151
135,13.5,10023.58523243142,10000.842349709772,0.40567815821300096
136,13.600000000000001,10023.79916192015,10000.942715331748,0.4190071591674937
137,13.700000000000001,10024.008518419521,10001.052418693153,0.4294707933195675
138,13.8,10024.210148380283,10001.172140677101,0.4359062731724742
139,13.9,10024.40057624702,10001.301979482389,0.43687031891481726
140,14.0,10024.57624599324,10001.441197283217,0.43088887785136637
141,14.100000000000001,10024.733934070344,10001.588018787865,0.416617409907767
142,14.200000000000001,10024.871212848968,10001.739459188298,0.3910950794487926
143,14.3,10024.98700012483,10001.891341892428,0.35648659175859276
144,14.4,10025.082078577596,10002.038825567895,0.31577655844178265
145,14.5,10025.159308170196,10002.177257100495,0.275781616194831
146,14.600000000000001,10025.223403427035,10002.302985959515,0.237293414396657
147,14.700000000000001,10025.280518256146,10002.413825989584,0.20415377221918227
148,14.8,10025.337415304099,10002.509543636303,0.18418554795891906
