control_step,time_s,north_m,east_m,reward
0,0.0,0.6548554222099483,-0.7460600011982024,0.0
1,0.1,0.6548908996755297,-0.7460359434546431,-0.09992827343163295
2,0.2,0.6623941026798493,-0.7454562594773335,0.01611884721472766
3,0.30000000000000004,0.6787889868088252,-0.744240108947199,0.035205471864249896
4,0.4,0.6979726328800981,-0.7428248330383286,0.040889135521937146
5,0.5,0.7223920127073316,-0.741033679359998,0.05223411805919753
6,0.6000000000000001,0.7647368105174925,-0.7379811968624778,0.09023677629542456
7,0.7000000000000001,0.8475881889670148,-0.7322037384895684,0.17772109438559947
8,0.8,0.9647708352525342,-0.7240383908407039,0.25122990954116853
9,0.9,1.0946096347990888,-0.7150471645480939,0.2780249826934498
10,1.0,1.215663351834779,-0.7066931092576966,0.2586902851135082
11,1.1,1.3353087494395872,-0.6984119862946796,0.25522967202589175
12,1.2000000000000002,1.4504188140749992,-0.6904445781824373,0.24506120168793602
13,1.3,1.5652505318165537,-0.6826067740949361,0.24407975225745904
14,1.4000000000000001,1.7056620852463338,-0.6731856403644595,0.2986578727482108
15,1.5,1.8729108273727524,-0.6621309855188731,0.3558403864948823
16,1.6,2.06464779003248,-0.6496291133414047,0.40787136047931316
17,1.7000000000000002,2.2656707054644087,-0.6366775825937164,0.42715026533247835
18,1.8,2.4439092196464607,-0.625264677802027,0.37750961725346144
19,1.9000000000000001,2.616458852709022,-0.6142695201730868,0.3646669056038293
20,2.0,2.7918892502564914,-0.6031718183023861,0.37025085086278986
21,2.1,2.983401217383747,-0.5912203076534508,0.4041750414195073
22,2.2,3.1974827042459695,-0.5780434964536804,0.4519593211075585
23,2.3000000000000003,3.4105711237475185,-0.5650497947761315,0.44907414984689403
24,2.4000000000000004,3.6171341190197275,-0.552529797780649,0.4343145983639748
25,2.5,3.819009793690177,-0.5403643740074088,0.423525543852284
26,2.6,4.021113050149571,-0.5282662017527039,0.42329938521408217
27,2.7,4.240181607560784,-0.5151981614891897,0.45894622769377186
28,2.8000000000000003,4.467338651215317,-0.5016483586313228,0.4754718917058408
29,2.9000000000000004,4.697359594952216,-0.48792151044624177,0.4807570347757289
30,3.0,4.9286127608396875,-0.47411643514090296,0.48252852198543983
31,3.1,5.1613902092697925,-0.4602064259323431,0.4849117120795341
32,3.2,5.407275673079327,-0.4454326492584313,0.5120575635828533
33,3.3000000000000003,5.653045759781786,-0.4305812839356762,0.5108295697621831
34,3.4000000000000004,5.896157827318429,-0.4158180468495537,0.5041587853508547
35,3.5,6.137059458111405,-0.4011094240383364,0.49844895372956943
36,3.6,6.38196676299616,-0.3860534846998458,0.5060180533082113
37,3.7,6.642838104663359,-0.36989669544740483,0.539086745866093
38,3.8000000000000003,6.898505181588048,-0.3539628383522735,0.526866165670376
39,3.9000000000000004,7.146392263270127,-0.3384265857315086,0.5091744287632933
40,4.0,7.387156050224606,-0.3232482302753451,0.4929197044488837
41,4.1000000000000005,7.629612311684167,-0.30790325717608913,0.49549493250753435
