checkpoint_timesteps,actual_model_timesteps,episodes,median_return,mean_return,success_rate
0,0,10,-26.654982159913363,-28.98472929850906,0.0
16384,16384,10,-26.654982159913363,-28.98472929850906,0.0
32768,32768,10,-3.8214068428036367,-15.742112254083747,0.0
49152,49152,10,-32.48689943333543,-29.481224371456797,0.0
65536,65536,10,-102.48016853905747,-122.70670052567968,0.0
81920,81920,10,-10.877338483340013,-25.571081082523186,0.0
98304,98304,10,-2.416613039428869,15.108777693459388,0.1
114688,114688,10,114.07993042966136,77.77775317861503,0.5
131072,131072,10,81.94600218485087,63.12997740972207,0.5
147456,147456,10,212.5605570143353,118.86687523710592,0.7
163840,163840,10,225.3399181391516,164.6257759606149,0.8
180224,180224,10,223.016810090335,156.10658506466024,0.8
196608,196608,10,229.7011552192451,230.6021105743583,1.0
212992,212992,10,234.1269813369565,229.94199640502688,1.0
229376,229376,10,239.77149613322788,238.8956863279554,1.0
245760,245760,10,234.66759453146767,235.4593534479862,1.0
262144,262144,10,237.22217854796884,237.7496381916764,1.0
278528,278528,10,238.13158964004344,235.35960707497276,1.0
294912,294912,10,225.47039018481894,225.30403519947762,1.0
311296,311296,10,224.7272558429229,208.1939527282766,0.9
327680,327680,10,229.30187057460304,230.13635731815125,1.0
344064,344064,10,215.5088528166332,157.44715692516758,0.6
360448,360448,10,45.18137465599746,96.13088500375827,0.3
376832,376832,10,224.27082134574573,207.37358203550934,0.9
393216,393216,10,220.00958055808508,218.52909295813166,1.0
409600,409600,10,223.5363515091296,207.28328671193108,0.9
425984,425984,10,227.41663583846557,208.76309978195462,0.9
442368,442368,10,224.61433773716922,179.46170280161277,0.8
458752,458752,10,229.18981112386223,209.84309597797832,0.9
475136,475136,10,235.4743246684263,177.3695101112231,0.8
491520,491520,10,228.9721033323229,229.59951465713175,1.0
507904,507904,10,227.23302865877122,205.42132130458464,0.9
524288,524288,10,232.23586052038974,213.05531055531773,0.9
540672,540672,10,234.53336732262852,234.57386877019917,1.0
557056,557056,10,235.20119954179773,214.89960944015115,0.9
573440,573440,10,235.03754033997106,235.47637308513396,1.0
589824,589824,10,238.464193698882,237.70364067762975,1.0
606208,606208,10,237.58440233941874,234.28234512382906,1.0
622592,622592,10,236.18596507811407,235.41720136759096,1.0
638976,638976,10,237.12060019475484,236.91915727275432,1.0
655360,655360,10,236.5156073473217,238.10543280793476,1.0
671744,671744,10,238.1571445979555,237.68323170676368,1.0
688128,688128,10,236.58575332861665,236.4424255967102,1.0
704512,704512,10,236.08334434160383,236.22274822753667,1.0
720896,720896,10,237.56239716628562,219.45437898874405,0.9
737280,737280,10,237.8910877283034,237.74818376716047,1.0
753664,753664,10,237.59779077604807,236.58297638851315,1.0
770048,770048,10,239.80016236974672,239.58763522884064,1.0
786432,786432,10,239.35954347952764,239.36484310143265,1.0
802816,802816,10,238.13161897348598,239.56867984674818,1.0
819200,819200,10,238.674686719528,238.5097514896116,1.0
835584,835584,10,240.42804603630225,237.94244380029522,1.0
851968,851968,10,239.12805938794133,237.62353338571216,1.0
868352,868352,10,238.8810720355104,238.79246834704492,1.0
884736,884736,10,240.26876366261396,239.0400253116631,1.0
901120,901120,10,240.85010398191554,241.77830152889305,1.0
917504,917504,10,242.4042391608839,242.13828297509104,1.0
933888,933888,10,239.58249852099928,239.6935691414316,1.0
950272,950272,10,241.59008784885717,242.06112746095013,1.0
966656,966656,10,240.94887501922346,241.76691255698194,1.0
983040,983040,10,240.4561097917179,241.5597528595688,1.0
999424,999424,10,240.2866144572541,240.29976488937336,1.0
1015808,1015808,10,243.83251964439847,242.76599562805603,1.0
