time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/n_updates,train/clip_fraction,train/learning_rate,train/std,train/entropy_loss,train/clip_range,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/loss
125,16,1199.18,253952,1,-215.04826245000004,,,,,,,,,,,
214,19,1199.18,256000,2,-215.04826245000004,1240,0.07080078125,0.0003,0.8575336337089539,-2.5292018949985504,0.2,0.7618396282196045,1.50887391269207,-0.003952555311843753,0.015237,0.24706633388996124
250,24,1199.18,258048,3,-223.30947264000002,1250,0.100048828125,0.0003,0.857290506362915,-2.53021776676178,0.2,0.9825560450553894,6.838820111751557,0.0028457863489165904,0.0055014463,2.1823172569274902
304,26,1199.18,260096,4,-223.30947264000002,1260,0.0181640625,0.0003,0.8546300530433655,-2.5272988438606263,0.2,0.9977055788040161,2.643539437651634,-0.0024255963158793747,0.0050786207,0.9858142733573914
318,32,1199.18,262144,5,-225.19955320999998,1270,0.032568359375,0.0003,0.8532811403274536,-2.521208781003952,0.2,0.9785512685775757,4.22076368033886,-0.0028643181663937866,0.009201286,0.924285888671875
356,34,1199.18,264192,6,-225.19955320999998,1280,0.069677734375,0.0003,0.8524612188339233,-2.5191731095314025,0.2,0.9975406527519226,2.3119364827871323,-0.0065745410276576875,0.00634168,0.9841796159744263
389,36,1199.18,266240,7,-225.19955320999998,1290,0.044580078125,0.0003,0.8526104688644409,-2.5182150185108183,0.2,0.9165743589401245,2.7415420532226564,-0.0009869488072581588,0.006393279,0.41029125452041626
388,42,1199.18,268288,8,-230.39107454000003,1300,0.017919921875,0.0003,0.853085994720459,-2.519005984067917,0.2,0.9801056385040283,4.212067621946335,-0.0023907028720714153,0.003912887,0.8773921728134155
414,44,1199.18,270336,9,-230.39107454000003,1310,0.0125,0.0003,0.8518714904785156,-2.5188043653964995,0.2,0.9847540259361267,2.308574250340462,-0.003510855173226446,0.0029726252,0.5762467980384827
410,49,1199.18,272384,10,-231.37559733,1320,0.02900390625,0.0003,0.8508034944534302,-2.515177768468857,0.2,0.9797528982162476,2.37334351092577,-0.002657708234619349,0.004617203,0.6798853874206543
431,52,1199.18,274432,11,-231.37559733,1330,0.049072265625,0.0003,0.8518158793449402,-2.514772516489029,0.2,0.9971156120300293,2.2449112236499786,-0.00495042551192455,0.008047297,0.7200725078582764
426,57,1199.18,276480,12,-235.59279384,1340,0.02080078125,0.0003,0.852963924407959,-2.5177061557769775,0.2,0.99022376537323,0.6094593115150928,-0.00242160283960402,0.005318354,0.09449897706508636
444,59,1199.18,278528,13,-235.59279384,1350,0.063134765625,0.0003,0.8532795906066895,-2.519330954551697,0.2,0.9972707033157349,1.92660131752491,-0.003267602005507797,0.0048340987,0.5906016826629639
460,62,1199.18,280576,14,-235.59279384,1360,0.061767578125,0.0003,0.8532747030258179,-2.520044577121735,0.2,0.9829425811767578,0.6874626524746418,-0.003167234035208821,0.004031446,0.16126754879951477
453,67,1199.18,282624,15,-242.24330731999996,1370,0.01923828125,0.0003,0.8532570600509644,-2.519616538286209,0.2,0.9852437973022461,4.351492655277252,-0.0026534841221291573,0.0030904862,1.2890549898147583
467,70,1199.18,284672,16,-242.24330731999996,1380,0.059130859375,0.0003,0.8491055369377136,-2.51646374464035,0.2,0.9920642971992493,2.2373368471860884,-0.004921023466158659,0.010908034,0.739418625831604
461,75,1199.18,286720,17,-238.40599718,1390,0.11845703125,0.0003,0.8478285074234009,-2.507051479816437,0.2,0.9809194803237915,2.311824859678745,0.005136386363301426,0.0028317198,0.2900986671447754
474,77,1199.18,288768,18,-238.40599718,1400,0.008154296875,0.0003,0.8488924503326416,-2.5080294251441955,0.2,0.9935144186019897,4.594823509454727,-0.0011237659258767963,0.0037841192,1.786933422088623
468,83,1199.18,290816,19,-246.13125409,1410,0.04375,0.0003,0.8489465117454529,-2.509656459093094,0.2,0.9867000579833984,3.597058081626892,-0.004089437227230519,0.005972761,0.8409667015075684
