time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/explained_variance,train/clip_range,train/value_loss,train/std,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/learning_rate,train/loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
16384,102,159,1,,,,,,,,,,,,,
32768,135,242,2,-0.07256591320037842,0.2,0.46154777565971017,0.9637556076049805,-0.013971219638187904,0.117626953125,0.0109227635,-2.787619833648205,0.0003,0.17083615064620972,10,,
49152,150,326,3,0.024620413780212402,0.2,0.6473203722387553,0.9329589605331421,-0.010220564741030103,0.07869873046875,0.009755606,-2.7248799234628676,0.0003,0.24194684624671936,20,1200.0,-162.517702375
65536,160,408,4,0.20137739181518555,0.2,1.6858733225613833,0.9264132976531982,-0.005887390549469273,0.0553466796875,0.0052023083,-2.6912763752043247,0.0003,0.5607669949531555,30,1200.0,-162.517702375
81920,166,493,5,0.23033654689788818,0.2,0.8943354867398738,0.9015740156173706,-0.011268210917478427,0.08375244140625,0.009079412,-2.6562942162156107,0.0003,0.3763595521450043,40,1200.0,-147.399803
98304,170,575,6,0.40389347076416016,0.2,2.0617721419781447,0.8885385990142822,-0.0054085665375168904,0.052191162109375,0.00557205,-2.6159778073430062,0.0003,0.8537557721138,50,1200.0,-147.399803
114688,174,657,7,0.7077254056930542,0.2,1.2569746050983668,0.871205747127533,-0.008927164840861224,0.078057861328125,0.007834951,-2.5817192047834396,0.0003,0.4731574058532715,60,1200.0,-147.399803
131072,177,738,8,0.6569362282752991,0.2,1.2840806623920797,0.8560999631881714,-0.006388566429814091,0.068902587890625,0.007910315,-2.544390021264553,0.0003,0.4708462059497833,70,1200.0,-141.63542575
147456,182,808,9,0.6749457120895386,0.2,2.1338726114481688,0.8475707769393921,-0.0045941175347252285,0.050042724609375,0.0056333803,-2.5160113222897054,0.0003,0.7194733619689941,80,1200.0,-141.63542575
163840,183,891,10,0.6760849952697754,0.2,2.289211371541023,0.8386319279670715,-0.006717260830919258,0.0607666015625,0.00717661,-2.4969323091208935,0.0003,0.9150658845901489,90,1200.0,-118.48026006
180224,188,955,11,0.8676940202713013,0.2,3.5639050669968126,0.828719973564148,-0.006169469013548224,0.062164306640625,0.006862213,-2.4742454782128336,0.0003,1.4056862592697144,100,1200.0,-118.48026006
196608,187,1048,12,0.7172856330871582,0.2,2.1301341064274313,0.8151144981384277,-0.00879331531614298,0.08475341796875,0.00752241,-2.445416509360075,0.0003,0.9341480135917664,110,1177.06,-64.05592331
212992,191,1110,13,0.18289142847061157,0.2,70.87627683877945,0.81331467628479,-0.002951297535764752,0.04405517578125,0.0049326997,-2.426892724633217,0.0003,20.25599479675293,120,1167.25,-57.237379510000004
229376,186,1229,14,0.5280138254165649,0.2,11.617226727306843,0.804367184638977,-0.0038928404515900183,0.0697509765625,0.009186532,-2.4138285987079144,0.0003,9.355862617492676,130,1111.22,2.368309810000003
245760,187,1307,15,0.34574371576309204,0.2,77.35889953970909,0.8016641139984131,-0.0032577778809354642,0.046685791015625,0.004594234,-2.3994700238108635,0.0003,38.52020263671875,140,1077.84,23.490180010000003
262144,185,1412,16,0.6941773891448975,0.2,26.429567676782607,0.7991095781326294,-0.00470956231438322,0.051312255859375,0.0052348245,-2.392115645110607,0.0003,7.547369003295898,150,1003.08,69.94246392999999
278528,186,1492,17,0.7364827394485474,0.2,42.68368801474571,0.7953442335128784,-0.004142052876704838,0.0437744140625,0.0048843725,-2.3846042044460773,0.0003,21.722667694091797,160,976.64,74.05533049
294912,183,1605,18,0.8024967908859253,0.2,26.69023999273777,0.7929461002349854,-0.0027861745889822486,0.033355712890625,0.0045296666,-2.3771719485521317,0.0003,7.963681697845459,170,914.2,89.10741827
311296,181,1714,19,0.8732642531394958,0.2,33.86888286471367,0.791404128074646,-0.003666576577234082,0.04544677734375,0.006456312,-2.3720958799123766,0.0003,19.52155303955078,180,850.44,90.43178414
327680,179,1828,20,0.6580907106399536,0.2,76.30028837919235,0.7911481261253357,-0.0029675516751012767,0.0452392578125,0.0049327584,-2.3695208467543125,0.0003,15.507847785949707,190,781.82,80.69670911000001
344064,177,1937,21,0.6777225732803345,0.2,92.01210693120956,0.7924739122390747,-0.0031145663844654335,0.027801513671875,0.0035369792,-2.3706718653440477,0.0003,52.500553131103516,200,747.23,74.21457472
360448,176,2044,22,0.7650493383407593,0.2,71.2015163064003,0.7915480136871338,-0.0030098036593699364,0.027239990234375,0.0036916689,-2.371452846378088,0.0003,34.524932861328125,210,710.49,78.01037115999999
376832,175,2152,23,0.8507709503173828,0.2,36.9988690495491,0.7895091772079468,-0.0032365153383580036,0.03555908203125,0.005229776,-2.368217568844557,0.0003,11.877424240112305,220,732.92,64.60866256000001
393216,173,2268,24,0.903479278087616,0.2,23.71615202128887,0.784152626991272,-0.004051845371577656,0.05733642578125,0.0057451883,-2.357815421372652,0.0003,10.0303955078125,230,773.7,55.48746405
409600,171,2386,25,0.7616530060768127,0.2,81.0518256366253,0.783050537109375,-0.004072917618759675,0.03636474609375,0.004466737,-2.34982573017478,0.0003,23.671995162963867,240,738.04,62.97078834
425984,169,2516,26,0.7721753120422363,0.2,61.79579868912697,0.780307412147522,-0.003916538658813806,0.041705322265625,0.004565444,-2.345200330018997,0.0003,28.249191284179688,250,728.91,91.16994629000003
442368,168,2625,27,0.8172911405563354,0.2,58.11699950695038,0.7766709327697754,-0.003208188762801001,0.03643798828125,0.0043377513,-2.3375475466251374,0.0003,20.90167999267578,260,672.1,111.32570369000003
458752,166,2757,28,0.8471486568450928,0.2,47.52278124094009,0.7703133821487427,-0.0044458063013735226,0.050262451171875,0.0056254645,-2.323759135603905,0.0003,20.001441955566406,270,617.51,130.16131461000003
475136,164,2882,29,0.8315122723579407,0.2,58.60510376095772,0.7678834795951843,-0.003991564468742581,0.03873291015625,0.0050963466,-2.3132051065564156,0.0003,18.065349578857422,280,586.92,123.91614092
491520,163,3001,30,0.7835794687271118,0.2,97.77196213006974,0.7672080993652344,-0.0038021752625354566,0.031317138671875,0.004153649,-2.3082152642309666,0.0003,26.739282608032227,290,596.58,104.77909906000002
507904,162,3119,31,0.8126203417778015,0.2,80.67123605012894,0.7669211626052856,-0.004836809234257089,0.04967041015625,0.005656644,-2.3062465347349645,0.0003,39.49055099487305,300,599.85,106.03543874
,,,,0.8301815986633301,0.2,54.8893824160099,0.7656719088554382,-0.0040968071669340135,0.052349853515625,0.0047713914,-2.3049877882003784,0.0003,21.406322479248047,310,,
