checkpoint_timesteps,actual_model_timesteps,episodes,median_return,mean_return,success_rate
507904,507904,10,192.85460788796019,125.4836531125422,0.7
524288,524288,10,192.85460788796019,125.4836531125422,0.7
540672,540672,10,-11.496897169656421,48.81407108588867,0.4
557056,557056,10,-113.47558581607016,-32.067148808509124,0.2
573440,573440,10,-115.86474464671639,-33.11210612752533,0.2
589824,589824,10,99.47831822993186,47.8081618006726,0.5
606208,606208,10,-14.67119086737683,24.415842857454418,0.4
622592,622592,10,78.63763114798428,40.41302319632991,0.5
638976,638976,10,184.30669170640084,124.23497365320978,0.8
655360,655360,10,192.33897286609516,91.12118520924744,0.6
671744,671744,10,194.06326047677896,112.82691372072085,0.7
688128,688128,10,190.454673263731,95.02937330934984,0.7
704512,704512,10,203.62548835061656,101.49240531134542,0.6
720896,720896,10,201.50731720247595,117.94066133173354,0.7
737280,737280,10,207.081019703202,128.5701152792373,0.7
753664,753664,10,150.47661915718362,95.24223201913696,0.6
770048,770048,10,208.70757403500298,162.71585097194412,0.9
786432,786432,10,200.55002995805611,133.81793082127786,0.8
802816,802816,10,205.13492557948592,129.70138299884803,0.7
819200,819200,10,207.8625453577999,145.46357519649501,0.7
835584,835584,10,199.6191486340705,133.5558767324971,0.8
851968,851968,10,200.5621080719581,179.3740164124423,0.9
868352,868352,10,87.52892417652663,59.04854610123046,0.5
884736,884736,10,-8.874320488269774,36.34066523655652,0.4
901120,901120,10,201.29895557093826,115.04348585004891,0.7
917504,917504,10,214.88305558836737,190.46667033645585,0.9
933888,933888,10,213.74189534187576,156.5338516760567,0.8
950272,950272,10,216.45130108481607,194.1672952392227,0.9
966656,966656,10,216.8869354898053,169.61409372349462,0.8
983040,983040,10,219.5126026610294,189.8305135281807,0.9
999424,999424,10,208.68320174006908,190.34718271634753,0.9
1015808,1015808,10,213.36756465397295,216.2500883715417,1.0
