time_s,current_body_x,current_body_y,force_body_x,force_body_y,force_world_x,force_world_y,moment_body_z
0.05,-1.06208,-0.680964,-26.6768,-40.0801,43.2767,-21.0997,-26.4778
0.1,-1.05956,-0.684889,-25.621,-37.4925,40.4958,-20.5479,-24.4412
0.15,-1.05472,-0.692313,-24.5718,-35.7383,38.4809,-20.0055,-22.6341
0.2,-1.04775,-0.702821,-23.5401,-34.652,37.0834,-19.4865,-21.0292
0.25,-1.03878,-0.716012,-22.5007,-34.1415,36.222,-18.9707,-19.6
0.3,-1.02792,-0.731508,-21.4931,-33.9394,35.6463,-18.525,-18.2269
0.35,-1.01529,-0.748939,-20.6638,-33.9043,35.2337,-18.3053,-16.9498
0.4,-1.00098,-0.767945,-19.9283,-34.2179,35.1594,-18.2158,-15.8769
0.45,-0.985107,-0.788204,-19.0233,-34.9383,35.4744,-18.0038,-14.849
0.5,-0.967746,-0.809429,-18.0249,-35.873,36.0021,-17.7656,-13.7665
0.55,-0.948995,-0.831337,-17.1018,-36.9126,36.6404,-17.6772,-12.714
0.6,-0.928966,-0.853661,-16.2507,-38.0515,37.3813,-17.7378,-11.7029
0.65,-0.907775,-0.876163,-15.4623,-39.2904,38.222,-17.9408,-10.7418
0.7,-0.885544,-0.898626,-14.7294,-40.6313,39.1611,-18.282,-9.84025
0.75,-0.862393,-0.92087,-14.0272,-42.0944,40.2169,-18.7421,-9.06566
0.8,-0.838434,-0.942736,-13.284,-43.6514,41.3675,-19.2513,-8.3771
0.85,-0.813772,-0.964099,-12.5644,-45.2385,42.5403,-19.8668,-7.75202
0.9,-0.788498,-0.984858,-11.9748,-46.8424,43.698,-20.6891,-7.37548
0.95,-0.762692,-1.00495,-11.3999,-48.4551,44.8457,-21.6012,-7.06096
1,-0.736435,-1.02432,-10.7264,-50.0896,46.0196,-22.4946,-6.43655
1.05,-0.709819,-1.04291,-10.0694,-51.7845,47.2326,-23.4893,-5.72161
1.1,-0.682968,-1.06066,-9.45534,-53.5524,48.4858,-24.6132,-5.04467
1.15,-0.656,-1.0775,-8.88176,-55.415,49.7957,-25.8697,-4.41849
1.2,-0.629023,-1.09343,-8.34669,-57.3953,51.1791,-27.2648,-3.85358
1.25,-0.602146,-1.10845,-7.86973,-59.4361,52.5708,-28.7998,-3.48166
