time_s,velocity_body_x,velocity_body_y,angular_velocity_body_z,current_body_x,current_body_y,force_body_x,force_body_y,force_world_x,force_world_y,moment_body_z,added_mass_eigenvalue_min,added_mass_eigenvalue_max,added_mass_rr,added_mass_body_xx,added_mass_body_xy,added_mass_body_xr,added_mass_body_yy,added_mass_body_yr
0.05,0,0,0,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
0.1,-0.0344897,-0.0132696,0,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
0.15,-0.0687711,-0.026403,-4.33564e-05,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
0.2,-0.102806,-0.0393906,-0.000214473,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
0.25,-0.136556,-0.0522243,-0.000593665,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
0.3,-0.169984,-0.0648979,-0.00125697,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
0.35,-0.203053,-0.0774068,-0.00227597,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
0.4,-0.235725,-0.0897486,-0.00371769,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
0.45,-0.267962,-0.101923,-0.00564449,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
0.5,-0.299728,-0.113933,-0.008114,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
0.55,-0.330984,-0.125783,-0.0111791,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
0.6,-0.361694,-0.13748,-0.0148877,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
0.65,-0.391819,-0.149033,-0.0192834,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
0.7,-0.421322,-0.160455,-0.0244045,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
0.75,-0.450166,-0.171758,-0.0302852,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
0.8,-0.478314,-0.18296,-0.0369546,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
0.85,-0.505728,-0.194077,-0.0444375,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
0.9,-0.532373,-0.20513,-0.0527545,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
0.95,-0.558211,-0.216137,-0.0619215,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
1,-0.583206,-0.227122,-0.0719502,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
1.05,-0.607324,-0.238106,-0.0828484,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
1.1,-0.630529,-0.249111,-0.0946195,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
1.15,-0.652787,-0.260161,-0.107263,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
1.2,-0.674063,-0.271277,-0.120774,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
1.25,-0.694324,-0.282481,-0.135143,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
1.3,-0.713536,-0.293793,-0.150359,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
1.35,-0.731668,-0.305233,-0.166404,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
1.4,-0.748686,-0.316817,-0.183256,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
1.45,-0.76456,-0.32856,-0.20089,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
1.5,-0.779257,-0.340475,-0.219276,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
1.55,-0.792748,-0.352571,-0.238378,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
1.6,-0.770686,-0.351141,-0.258157,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
1.65,-0.748803,-0.349964,-0.276381,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
1.7,-0.727117,-0.348981,-0.293113,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
1.75,-0.705648,-0.348138,-0.308416,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
1.8,-0.684414,-0.347387,-0.32235,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
1.85,-0.663429,-0.346687,-0.334974,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
1.9,-0.642708,-0.346002,-0.346345,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
1.95,-0.622267,-0.345299,-0.356517,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
2,-0.602118,-0.34455,-0.365545,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
2.05,-0.582273,-0.343734,-0.373482,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
2.1,-0.562746,-0.34283,-0.38038,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
2.15,-0.543547,-0.341823,-0.386289,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
2.2,-0.524688,-0.3407,-0.39126,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
2.25,-0.506179,-0.33945,-0.395342,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
2.3,-0.488029,-0.338067,-0.398582,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
2.35,-0.470247,-0.336545,-0.401028,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
2.4,-0.45284,-0.334882,-0.402725,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
2.45,-0.435816,-0.333077,-0.403718,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
2.5,-0.41918,-0.33113,-0.404051,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
2.55,-0.402938,-0.329044,-0.403766,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
2.6,-0.387093,-0.326821,-0.402906,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
2.65,-0.371649,-0.324466,-0.401509,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
2.7,-0.356608,-0.321984,-0.399616,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
2.75,-0.34197,-0.319381,-0.397262,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
2.8,-0.327737,-0.316663,-0.394484,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
2.85,-0.313907,-0.313837,-0.391317,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
2.9,-0.300479,-0.310911,-0.387794,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
2.95,-0.287451,-0.307891,-0.383947,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
3,-0.27482,-0.304786,-0.379806,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
3.05,-0.262581,-0.301603,-0.375399,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
3.1,-0.250731,-0.298349,-0.370754,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
3.15,-0.239263,-0.295032,-0.365898,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
3.2,-0.228174,-0.291659,-0.360853,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
3.25,-0.217455,-0.288237,-0.355644,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
3.3,-0.207101,-0.284775,-0.350292,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
