time_s,velocity_body_x,velocity_body_y,current_body_x,current_body_y,force_body_x,force_body_y,force_world_x,force_world_y,moment_body_z
0.05,0,0,0,0,0,0,0,0,-0
0.1,-0.0362141,-0.0232218,0,0,0,0,0,0,-0
0.15,-0.0703868,-0.0285965,0,0,0,0,0,0,-0
0.2,-0.104401,-0.0472488,0,0,0,0,0,0,-0
0.25,-0.138123,-0.0555437,0,0,0,0,0,0,-0
0.3,-0.171518,-0.0714235,0,0,0,0,0,0,-0
0.35,-0.204549,-0.0812427,0,0,0,0,0,0,-0
0.4,-0.237179,-0.0953829,0,0,0,0,0,0,-0
0.45,-0.269369,-0.105944,0,0,0,0,0,0,-0
0.5,-0.301081,-0.118957,0,0,0,0,0,0,-0
0.55,-0.332278,-0.12984,0,0,0,0,0,0,-0
0.6,-0.36292,-0.142114,0,0,0,0,0,0,-0
0.65,-0.392971,-0.153119,0,0,0,0,0,0,-0
0.7,-0.42239,-0.164925,0,0,0,0,0,0,-0
0.75,-0.451141,-0.17599,0,0,0,0,0,0,-0
0.8,-0.479185,-0.187542,0,0,0,0,0,0,-0
0.85,-0.506483,-0.198694,0,0,0,0,0,0,-0
0.9,-0.532997,-0.210184,0,0,0,0,0,0,-0
0.95,-0.558688,-0.221507,0,0,0,0,0,0,-0
1,-0.583518,-0.233116,0,0,0,0,0,0,-0
1.05,-0.607447,-0.24473,0,0,0,0,0,0,-0
1.1,-0.630437,-0.256634,0,0,0,0,0,0,-0
1.15,-0.652447,-0.268678,0,0,0,0,0,0,-0
1.2,-0.673436,-0.281048,0,0,0,0,0,0,-0
1.25,-0.693363,-0.29367,0,0,0,0,0,0,-0
1.3,-0.712185,-0.306666,0,0,0,0,0,0,-0
1.35,-0.729858,-0.320005,0,0,0,0,0,0,-0
1.4,-0.746336,-0.333768,0,0,0,0,0,0,-0
1.45,-0.761572,-0.347944,0,0,0,0,0,0,-0
1.5,-0.775518,-0.362587,0,0,0,0,0,0,-0
1.55,-0.788121,-0.377691,0,0,0,0,0,0,-0
1.6,-0.763433,-0.369576,0,0,0,0,0,0,-0
1.65,-0.740677,-0.380525,0,0,0,0,0,0,-0
1.7,-0.717877,-0.377141,0,0,0,0,0,0,-0
1.75,-0.695116,-0.385205,0,0,0,0,0,0,-0
1.8,-0.672425,-0.384527,0,0,0,0,0,0,-0
1.85,-0.649799,-0.390651,0,0,0,0,0,0,-0
1.9,-0.627268,-0.391366,0,0,0,0,0,0,-0
1.95,-0.604839,-0.396048,0,0,0,0,0,0,-0
2,-0.58254,-0.397307,0,0,0,0,0,0,-0
2.05,-0.560387,-0.4008,0,0,0,0,0,0,-0
2.1,-0.538408,-0.402051,0,0,0,0,0,0,-0
2.15,-0.516625,-0.404477,0,0,0,0,0,0,-0
2.2,-0.495067,-0.40537,0,0,0,0,0,0,-0
2.25,-0.473758,-0.406795,0,0,0,0,0,0,-0
2.3,-0.452727,-0.407113,0,0,0,0,0,0,-0
2.35,-0.432001,-0.407581,0,0,0,0,0,0,-0
2.4,-0.411606,-0.407208,0,0,0,0,0,0,-0
2.45,-0.391567,-0.406761,0,0,0,0,0,0,-0
2.5,-0.371911,-0.405649,0,0,0,0,0,0,-0
2.55,-0.352658,-0.404343,0,0,0,0,0,0,-0
2.6,-0.333832,-0.402493,0,0,0,0,0,0,-0
2.65,-0.315451,-0.400393,0,0,0,0,0,0,-0
2.7,-0.297532,-0.397841,0,0,0,0,0,0,-0
2.75,-0.280092,-0.395026,0,0,0,0,0,0,-0
2.8,-0.263141,-0.391835,0,0,0,0,0,0,-0
2.85,-0.246692,-0.388391,0,0,0,0,0,0,-0
2.9,-0.230752,-0.384637,0,0,0,0,0,0,-0
2.95,-0.215326,-0.380655,0,0,0,0,0,0,-0
3,-0.200419,-0.376422,0,0,0,0,0,0,-0
3.05,-0.186031,-0.371995,0,0,0,0,0,0,-0
3.1,-0.172163,-0.367369,0,0,0,0,0,0,-0
3.15,-0.158812,-0.362587,0,0,0,0,0,0,-0
3.2,-0.145972,-0.357653,0,0,0,0,0,0,-0
3.25,-0.13364,-0.352602,0,0,0,0,0,0,-0
3.3,-0.121807,-0.34744,0,0,0,0,0,0,-0
3.35,-0.110464,-0.342197,0,0,0,0,0,0,-0
3.4,-0.0996031,-0.336881,0,0,0,0,0,0,-0
3.45,-0.0892124,-0.331516,0,0,0,0,0,0,-0
3.5,-0.0792806,-0.326112,0,0,0,0,0,0,-0
3.55,-0.0697956,-0.320687,0,0,0,0,0,0,-0
3.6,-0.0607449,-0.315251,0,0,0,0,0,0,-0
3.65,-0.0521151,-0.309819,0,0,0,0,0,0,-0
3.7,-0.0438929,-0.3044,0,0,0,0,0,0,-0
3.75,-0.0360647,-0.299006,0,0,0,0,0,0,-0
3.8,-0.0286166,-0.293645,0,0,0,0,0,0,-0
3.85,-0.0215349,-0.288326,0,0,0,0,0,0,-0
3.9,-0.0148058,-0.283056,0,0,0,0,0,0,-0
3.95,-0.00841554,-0.277841,0,0,0,0,0,0,-0
4,-0.00235074,-0.272688,0,0,0,0,0,0,-0
4.05,0.00340192,-0.267601,0,0,0,0,0,0,-0
4.1,0.00885507,-0.262585,0,0,0,0,0,0,-0
4.15,0.0140196,-0.257644,0,0,0,0,0,0,-0
4.2,0.0189062,-0.252781,0,0,0,0,0,0,-0
4.25,0.0235257,-0.247999,0,0,0,0,0,0,-0
4.3,0.0278887,-0.243299,0,0,0,0,0,0,-0
4.35,0.0320056,-0.238685,0,0,0,0,0,0,-0
4.4,0.0358868,-0.234156,0,0,0,0,0,0,-0
4.45,0.0395423,-0.229715,0,0,0,0,0,0,-0
