time_s,velocity_body_x,velocity_body_y,current_body_x,current_body_y,force_body_x,force_body_y,force_world_x,force_world_y,moment_body_z
0.05,0,0,0,0,0,0,0,0,-0
0.1,-0.0362141,-0.0232218,0,0,0,0,0,0,-0
0.15,-0.0721976,-0.0460126,0,0,0,0,0,0,-0
0.2,-0.107906,-0.0683192,0,0,0,0,0,0,-0
0.25,-0.143298,-0.0900932,0,0,0,0,0,0,-0
0.3,-0.178331,-0.111292,0,0,0,0,0,0,-0
0.35,-0.212965,-0.131876,0,0,0,0,0,0,-0
0.4,-0.247164,-0.151815,0,0,0,0,0,0,-0
0.45,-0.280892,-0.17108,0,0,0,0,0,0,-0
0.5,-0.314114,-0.189651,0,0,0,0,0,0,-0
0.55,-0.3468,-0.207512,0,0,0,0,0,0,-0
0.6,-0.378921,-0.224651,0,0,0,0,0,0,-0
0.65,-0.41045,-0.241063,0,0,0,0,0,0,-0
0.7,-0.441362,-0.256746,0,0,0,0,0,0,-0
0.75,-0.471637,-0.271704,0,0,0,0,0,0,-0
0.8,-0.501255,-0.285942,0,0,0,0,0,0,-0
0.85,-0.530199,-0.299472,0,0,0,0,0,0,-0
0.9,-0.558455,-0.312305,0,0,0,0,0,0,-0
0.95,-0.586011,-0.324459,0,0,0,0,0,0,-0
1,-0.612857,-0.335951,0,0,0,0,0,0,-0
1.05,-0.638987,-0.346802,0,0,0,0,0,0,-0
1.1,-0.664395,-0.357032,0,0,0,0,0,0,-0
1.15,-0.689079,-0.366664,0,0,0,0,0,0,-0
1.2,-0.713037,-0.375723,0,0,0,0,0,0,-0
1.25,-0.73627,-0.384232,0,0,0,0,0,0,-0
1.3,-0.758782,-0.392215,0,0,0,0,0,0,-0
1.35,-0.780576,-0.399698,0,0,0,0,0,0,-0
1.4,-0.801659,-0.406704,0,0,0,0,0,0,-0
1.45,-0.822039,-0.413258,0,0,0,0,0,0,-0
1.5,-0.841723,-0.419384,0,0,0,0,0,0,-0
1.55,-0.860722,-0.425104,0,0,0,0,0,0,-0
1.6,-0.842832,-0.407221,0,0,0,0,0,0,-0
1.65,-0.825579,-0.390512,0,0,0,0,0,0,-0
1.7,-0.808929,-0.374868,0,0,0,0,0,0,-0
1.75,-0.792851,-0.360191,0,0,0,0,0,0,-0
1.8,-0.777315,-0.346395,0,0,0,0,0,0,-0
1.85,-0.762296,-0.333406,0,0,0,0,0,0,-0
1.9,-0.747768,-0.321155,0,0,0,0,0,0,-0
1.95,-0.733706,-0.309583,0,0,0,0,0,0,-0
2,-0.72009,-0.298636,0,0,0,0,0,0,-0
2.05,-0.706898,-0.288266,0,0,0,0,0,0,-0
2.1,-0.694111,-0.278429,0,0,0,0,0,0,-0
2.15,-0.681711,-0.269088,0,0,0,0,0,0,-0
2.2,-0.669681,-0.260207,0,0,0,0,0,0,-0
2.25,-0.658003,-0.251752,0,0,0,0,0,0,-0
2.3,-0.646664,-0.243697,0,0,0,0,0,0,-0
2.35,-0.635649,-0.236013,0,0,0,0,0,0,-0
2.4,-0.624943,-0.228677,0,0,0,0,0,0,-0
2.45,-0.614535,-0.221667,0,0,0,0,0,0,-0
2.5,-0.604413,-0.214963,0,0,0,0,0,0,-0
2.55,-0.594564,-0.208545,0,0,0,0,0,0,-0
2.6,-0.584978,-0.202396,0,0,0,0,0,0,-0
2.65,-0.575644,-0.196501,0,0,0,0,0,0,-0
2.7,-0.566554,-0.190846,0,0,0,0,0,0,-0
2.75,-0.557697,-0.185416,0,0,0,0,0,0,-0
2.8,-0.549065,-0.180199,0,0,0,0,0,0,-0
2.85,-0.54065,-0.175184,0,0,0,0,0,0,-0
2.9,-0.532443,-0.17036,0,0,0,0,0,0,-0
2.95,-0.524437,-0.165716,0,0,0,0,0,0,-0
3,-0.516625,-0.161244,0,0,0,0,0,0,-0
3.05,-0.508999,-0.156935,0,0,0,0,0,0,-0
3.1,-0.501555,-0.15278,0,0,0,0,0,0,-0
3.15,-0.494284,-0.148772,0,0,0,0,0,0,-0
3.2,-0.487182,-0.144905,0,0,0,0,0,0,-0
3.25,-0.480242,-0.14117,0,0,0,0,0,0,-0
3.3,-0.473459,-0.137563,0,0,0,0,0,0,-0
3.35,-0.466828,-0.134077,0,0,0,0,0,0,-0
3.4,-0.460344,-0.130706,0,0,0,0,0,0,-0
3.45,-0.454003,-0.127446,0,0,0,0,0,0,-0
3.5,-0.447799,-0.124291,0,0,0,0,0,0,-0
3.55,-0.441728,-0.121238,0,0,0,0,0,0,-0
3.6,-0.435787,-0.118281,0,0,0,0,0,0,-0
3.65,-0.429971,-0.115416,0,0,0,0,0,0,-0
3.7,-0.424276,-0.112641,0,0,0,0,0,0,-0
3.75,-0.418699,-0.10995,0,0,0,0,0,0,-0
3.8,-0.413235,-0.107341,0,0,0,0,0,0,-0
3.85,-0.407883,-0.10481,0,0,0,0,0,0,-0
3.9,-0.402638,-0.102354,0,0,0,0,0,0,-0
3.95,-0.397498,-0.0999711,0,0,0,0,0,0,-0
4,-0.392458,-0.0976572,0,0,0,0,0,0,-0
4.05,-0.387518,-0.0954101,0,0,0,0,0,0,-0
4.1,-0.382672,-0.0932272,0,0,0,0,0,0,-0
4.15,-0.37792,-0.0911062,0,0,0,0,0,0,-0
4.2,-0.373259,-0.0890448,0,0,0,0,0,0,-0
4.25,-0.368685,-0.0870407,0,0,0,0,0,0,-0
4.3,-0.364196,-0.085092,0,0,0,0,0,0,-0
4.35,-0.359791,-0.0831966,0,0,0,0,0,0,-0
4.4,-0.355467,-0.0813527,0,0,0,0,0,0,-0
4.45,-0.351222,-0.0795584,0,0,0,0,0,0,-0
