time_s,velocity_body_x,velocity_body_y,current_body_x,current_body_y,force_body_x,force_body_y,force_world_x,force_world_y,moment_body_z
0.1,-2.34445e-19,5.19223e-21,0,0,0,0,0,0,-0
0.15,-6.51915e-19,-9.30059e-18,0,0,0,0,0,0,-0
0.2,-1.30003e-05,0.000392904,0,0,0,0,0,0,-0
0.25,-0.0010465,0.00216729,0,0,0,0,0,0,-0
0.3,-0.00212152,0.00233615,0,0,0,0,0,0,-0
0.35,0.00194534,-0.00150309,0,0,0,0,0,0,-0
0.4,0.00896289,-0.00473102,0,0,0,0,0,0,-0
0.45,0.00920573,-0.00341679,0,0,0,0,0,0,-0
0.5,0.00443819,-0.000860616,0,0,0,0,0,0,-0
0.55,0.00105472,0.000189796,0,0,0,0,0,0,-0
0.6,-0.000642334,-0.00035252,0,0,0,0,0,0,-0
0.65,-0.000662871,-0.00246019,0,0,0,0,0,0,-0
0.7,0.000983466,-0.00610593,0,0,0,0,0,0,-0
0.75,0.00283854,-0.00816572,0,0,0,0,0,0,-0
0.8,0.000698798,-0.00483299,0,0,0,0,0,0,-0
0.85,-0.000538274,-1.33978e-05,0,0,0,0,0,0,-0
0.9,0.00692806,0.00389584,0,0,0,0,0,0,-0
0.95,0.0142455,0.00851626,0,0,0,0,0,0,-0
1,0.011354,0.0105347,0,0,0,0,0,0,-0
1.05,0.00607011,0.0078962,0,0,0,0,0,0,-0
1.1,0.00114522,0.00228273,0,0,0,0,0,0,-0
1.15,-0.0034235,-0.0062542,0,0,0,0,0,0,-0
1.2,-0.00763851,-0.0176648,0,0,0,0,0,0,-0
1.25,-0.00934457,-0.0292192,0,0,0,0,0,0,-0
1.3,-0.00443077,-0.0250183,0,0,0,0,0,0,-0
1.35,-0.00040371,-0.00606397,0,0,0,0,0,0,-0
1.4,-0.000344364,0.0121123,0,0,0,0,0,0,-0
1.45,0.00193964,0.0250253,0,0,0,0,0,0,-0
1.5,0.00512441,0.0308344,0,0,0,0,0,0,-0
1.55,0.00512822,0.0251756,0,0,0,0,0,0,-0
1.6,0.00336372,0.014818,0,0,0,0,0,0,-0
1.65,-7.85559e-05,0.000338722,0,0,0,0,0,0,-0
1.7,-0.00518879,-0.0182019,0,0,0,0,0,0,-0
1.75,-0.0119568,-0.0407262,0,0,0,0,0,0,-0
1.8,-0.012403,-0.0461793,0,0,0,0,0,0,-0
1.85,-0.00405995,-0.0192437,0,0,0,0,0,0,-0
1.9,0.000245749,0.00898677,0,0,0,0,0,0,-0
1.95,-0.00206805,0.0214608,0,0,0,0,0,0,-0
2,-0.00285763,0.0306576,0,0,0,0,0,0,-0
2.05,-0.00111519,0.0332383,0,0,0,0,0,0,-0
2.1,4.5084e-07,0.0259348,0,0,0,0,0,0,-0
2.15,0.000224897,0.0121719,0,0,0,0,0,0,-0
2.2,-0.000436621,-0.00793373,0,0,0,0,0,0,-0
2.25,-0.00197879,-0.0342881,0,0,0,0,0,0,-0
2.3,-0.00402155,-0.0568774,0,0,0,0,0,0,-0
2.35,-0.00444457,-0.0373137,0,0,0,0,0,0,-0
2.4,-0.00130469,-0.00179494,0,0,0,0,0,0,-0
