time_s,velocity_body_x,velocity_body_y,current_body_x,current_body_y,force_body_x,force_body_y,force_world_x,force_world_y,moment_body_z,added_mass_body_xx,added_mass_body_yy,added_mass_body_rr
0.05,0,0,0,0,0,0,0,0,-0,38.5753,3.26472,1.4313
0.1,-0.0344897,-0.0132696,0,0,0,0,0,0,-0,38.5753,3.26472,1.4313
0.15,-0.0687711,-0.026403,0,0,0,0,0,0,-0,38.5753,3.2647,1.4313
0.2,-0.102806,-0.0393906,0,0,0,0,0,0,-0,38.5754,3.2646,1.4313
0.25,-0.136556,-0.0522243,0,0,0,0,0,0,-0,38.5757,3.26431,1.4313
0.3,-0.169984,-0.0648979,0,0,0,0,0,0,-0,38.5763,3.2637,1.4313
0.35,-0.203053,-0.0774068,0,0,0,0,0,0,-0,38.5774,3.2626,1.4313
0.4,-0.235725,-0.0897486,0,0,0,0,0,0,-0,38.5792,3.26081,1.4313
0.45,-0.267962,-0.101923,0,0,0,0,0,0,-0,38.5819,3.25809,1.4313
0.5,-0.299728,-0.113933,0,0,0,0,0,0,-0,38.5858,3.2542,1.4313
0.55,-0.330984,-0.125783,0,0,0,0,0,0,-0,38.5912,3.24885,1.4313
0.6,-0.361694,-0.13748,0,0,0,0,0,0,-0,38.5982,3.24176,1.4313
0.65,-0.391819,-0.149033,0,0,0,0,0,0,-0,38.6074,3.23263,1.4313
0.7,-0.421322,-0.160455,0,0,0,0,0,0,-0,38.6188,3.22118,1.4313
0.75,-0.450166,-0.171758,0,0,0,0,0,0,-0,38.6329,3.20711,1.4313
0.8,-0.478314,-0.18296,0,0,0,0,0,0,-0,38.6498,3.19017,1.4313
0.85,-0.505728,-0.194077,0,0,0,0,0,0,-0,38.6699,3.17011,1.4313
0.9,-0.532373,-0.20513,0,0,0,0,0,0,-0,38.6932,3.14676,1.4313
0.95,-0.558211,-0.216137,0,0,0,0,0,0,-0,38.72,3.11998,1.4313
1,-0.583206,-0.227122,0,0,0,0,0,0,-0,38.7503,3.08972,1.4313
1.05,-0.607324,-0.238106,0,0,0,0,0,0,-0,38.784,3.05601,1.4313
1.1,-0.630529,-0.249111,0,0,0,0,0,0,-0,38.821,3.01902,1.4313
1.15,-0.652787,-0.260161,0,0,0,0,0,0,-0,38.861,2.97903,1.4313
1.2,-0.674063,-0.271277,0,0,0,0,0,0,-0,38.9035,2.93647,1.4313
1.25,-0.694324,-0.282481,0,0,0,0,0,0,-0,38.948,2.89196,1.4313
1.3,-0.713536,-0.293793,0,0,0,0,0,0,-0,38.9937,2.8463,1.4313
1.35,-0.731668,-0.305233,0,0,0,0,0,0,-0,39.0395,2.80053,1.4313
1.4,-0.748686,-0.316817,0,0,0,0,0,0,-0,39.0841,2.75594,1.4313
1.45,-0.76456,-0.32856,0,0,0,0,0,0,-0,39.1259,2.71406,1.4313
1.5,-0.779257,-0.340475,0,0,0,0,0,0,-0,39.1633,2.67674,1.4313
1.55,-0.792748,-0.352571,0,0,0,0,0,0,-0,39.1939,2.64612,1.4313
1.6,-0.770686,-0.351141,0,0,0,0,0,0,-0,39.2153,2.62467,1.4313
1.65,-0.748803,-0.349964,0,0,0,0,0,0,-0,39.2248,2.61522,1.4313
1.7,-0.727117,-0.348981,0,0,0,0,0,0,-0,39.2195,2.62047,1.4313
1.75,-0.705648,-0.348138,0,0,0,0,0,0,-0,39.197,2.64297,1.4313
1.8,-0.684414,-0.347387,0,0,0,0,0,0,-0,39.1549,2.68507,1.4313
1.85,-0.663429,-0.346687,0,0,0,0,0,0,-0,39.0911,2.74889,1.4313
1.9,-0.642708,-0.346002,0,0,0,0,0,0,-0,39.0037,2.83631,1.4313
1.95,-0.622267,-0.345299,0,0,0,0,0,0,-0,38.8911,2.94895,1.4313
2,-0.602118,-0.34455,0,0,0,0,0,0,-0,38.7518,3.08815,1.4313
2.05,-0.582273,-0.343734,0,0,0,0,0,0,-0,38.585,3.25499,1.4313
2.1,-0.562746,-0.34283,0,0,0,0,0,0,-0,38.3898,3.45023,1.4313
2.15,-0.543547,-0.341823,0,0,0,0,0,0,-0,38.1656,3.67436,1.4313
2.2,-0.524688,-0.3407,0,0,0,0,0,0,-0,37.9124,3.92761,1.4313
2.25,-0.506179,-0.33945,0,0,0,0,0,0,-0,37.6301,4.20992,1.4313
2.3,-0.488029,-0.338067,0,0,0,0,0,0,-0,37.319,4.52097,1.4313
2.35,-0.470247,-0.336545,0,0,0,0,0,0,-0,36.9798,4.86022,1.4313
2.4,-0.45284,-0.334882,0,0,0,0,0,0,-0,36.6131,5.2269,1.4313
2.45,-0.435816,-0.333077,0,0,0,0,0,0,-0,36.22,5.62002,1.4313
2.5,-0.41918,-0.33113,0,0,0,0,0,0,-0,35.8016,6.03843,1.4313
2.55,-0.402938,-0.329044,0,0,0,0,0,0,-0,35.3592,6.48081,1.4313
2.6,-0.387093,-0.326821,0,0,0,0,0,0,-0,34.8943,6.94571,1.4313
2.65,-0.371649,-0.324466,0,0,0,0,0,0,-0,34.4084,7.43157,1.4313
2.7,-0.356608,-0.321984,0,0,0,0,0,0,-0,33.9033,7.93672,1.4313
2.75,-0.34197,-0.319381,0,0,0,0,0,0,-0,33.3806,8.45945,1.4313
2.8,-0.327737,-0.316663,0,0,0,0,0,0,-0,32.842,8.99798,1.4313
2.85,-0.313907,-0.313837,0,0,0,0,0,0,-0,32.2895,9.55051,1.4313
2.9,-0.300479,-0.310911,0,0,0,0,0,0,-0,31.7247,10.1153,1.4313
2.95,-0.287451,-0.307891,0,0,0,0,0,0,-0,31.1496,10.6904,1.4313
