# BCOD Simulator export
# Steps: 547
# Stop reason: goal_completed
# Sim Hz: 12
# Axis convention: north=pos.z, east=pos.x, up=pos.y
time,north,east,height,surge,sway,heave,heading,roll,pitch,yaw_rate,roll_rate,pitch_rate,total_accel_n,total_accel_e,total_accel_up,yaw_accel,speed,total_energy,last_total_cost
43200.0000,12.0005,12.0004,-0.0926,0.0110,0.0106,0.0000,0.785403,0.000576,0.000297,0.000103,0.006908,0.003563,0.131381,0.127080,0.000000,0.001130,0.0153,0.4525,0.452502
43200.0833,12.0022,12.0021,-0.0926,0.0304,0.0296,0.0000,0.785412,0.001583,0.000678,0.000120,0.012092,0.004573,0.232634,0.227153,0.000000,0.000088,0.0424,0.9050,0.452518
43200.1667,12.0058,12.0056,-0.0926,0.0564,0.0551,0.0000,0.785419,0.002910,0.000999,0.000049,0.015920,0.003850,0.312293,0.305678,0.000000,-0.000958,0.0788,1.3576,0.452562
43200.2500,12.0118,12.0115,-0.0926,0.0877,0.0857,0.0000,0.785417,0.004466,0.001166,-0.000109,0.018671,0.002010,0.374813,0.367117,0.000000,-0.001967,0.1226,1.8102,0.452650
43200.3333,12.0206,12.0201,-0.0926,0.1231,0.1203,0.0000,0.785398,0.006179,0.001126,-0.000347,0.020560,-0.000483,0.423736,0.415027,0.000000,-0.002910,0.1721,2.2630,0.452796
43200.4167,12.0324,12.0317,-0.0926,0.1616,0.1580,0.0000,0.785356,0.007992,0.000852,-0.000658,0.021753,-0.003284,0.461866,0.452220,0.000000,-0.003762,0.2260,2.7160,0.453011
43200.5000,12.0476,12.0465,-0.0926,0.2027,0.1982,0.0000,0.785285,0.009857,0.000341,-0.001036,0.022382,-0.006141,0.491415,0.480915,0.000000,-0.004512,0.2834,3.1693,0.453303
43200.5833,12.0663,12.0648,-0.0926,0.2456,0.2401,0.0000,0.785181,0.011736,-0.000399,-0.001476,0.022547,-0.008870,0.514093,0.502895,0.000000,-0.005223,0.3435,3.6230,0.453680
43200.6667,12.0886,12.0866,-0.0926,0.2900,0.2835,0.0000,0.785037,0.013597,-0.001344,-0.001967,0.022331,-0.011342,0.531314,0.519503,0.000000,-0.005802,0.4055,4.0772,0.454145
43200.7500,12.1147,12.1121,-0.0926,0.3355,0.3278,0.0000,0.784851,0.015414,-0.002466,-0.002499,0.021801,-0.013471,0.544132,0.531863,0.000000,-0.006255,0.4691,4.5319,0.454700
43200.8333,12.1446,12.1413,-0.0926,0.3818,0.3729,0.0000,0.784619,0.017165,-0.003733,-0.003064,0.021011,-0.015202,0.553391,0.540853,0.000000,-0.006623,0.5337,4.9872,0.455349
43200.9167,12.1784,12.1743,-0.0926,0.4287,0.4185,0.0000,0.784339,0.018832,-0.005109,-0.003652,0.020009,-0.016509,0.559819,0.547106,0.000000,-0.006861,0.5991,5.4433,0.456090
43201.0000,12.2161,12.2111,-0.0926,0.4760,0.4644,0.0000,0.784009,0.020402,-0.006557,-0.004253,0.018834,-0.017381,0.563953,0.551161,0.000000,-0.006991,0.6651,5.9002,0.456923
43201.0833,12.2577,12.2517,-0.0926,0.5235,0.5105,0.0000,0.783629,0.021862,-0.008043,-0.004858,0.017521,-0.017826,0.566222,0.553445,0.000000,-0.007024,0.7312,6.3581,0.457847
43201.1667,12.3033,12.2961,-0.0926,0.5712,0.5566,0.0000,0.783199,0.023203,-0.009531,-0.005459,0.016100,-0.017862,0.566970,0.554288,0.000000,-0.006967,0.7975,6.8169,0.458861
43201.2500,12.3529,12.3445,-0.0926,0.6188,0.6027,0.0000,0.782719,0.024420,-0.010991,-0.006050,0.014599,-0.017513,0.566470,0.553956,0.000000,-0.006829,0.8638,7.2769,0.459962
43201.3333,12.4065,12.3966,-0.0926,0.6664,0.6486,0.0000,0.782191,0.025507,-0.012392,-0.006625,0.013042,-0.016813,0.564936,0.552661,0.000000,-0.006629,0.9299,7.7380,0.461148
43201.4167,12.4640,12.4525,-0.0926,0.7139,0.6942,0.0000,0.781615,0.026461,-0.013708,-0.007181,0.011452,-0.015797,0.562522,0.550593,0.000000,-0.006400,0.9958,8.2005,0.462416
43201.5000,12.5254,12.5123,-0.0926,0.7612,0.7396,0.0000,0.780995,0.027282,-0.014917,-0.007714,0.009849,-0.014502,0.559391,0.547860,0.000000,-0.006128,1.0613,8.6642,0.463764
