t,N,E,yaw,u,v,r
0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
0.0500000000000,0.00107880991736,2.03936987977e-15,-1.28785870857e-15,0.0215761983471,4.08151846904e-14,-2.57571741713e-14
0.100000000000,0.00699438408415,1.18700981018e-14,-7.63833440942e-15,0.118311483336,1.97518267115e-13,-1.27009514017e-13
0.150000000000,0.0141440521140,1.90348328826e-14,-1.27337069179e-14,0.142993360598,1.45115531162e-13,-1.01907450170e-13
0.200000000000,0.0178857023161,2.13935327278e-14,-1.42297521284e-14,0.0748330040416,4.82388520016e-14,-2.99209042098e-14
0.250000000000,0.0216273525182,2.37522325729e-14,-1.57257973389e-14,0.0748330040416,4.83508055589e-14,-2.99209042098e-14
0.300000000000,0.0532073492194,3.42737878026e-14,-2.17067743091e-14,0.631599934023,2.24141101815e-13,-1.19619539404e-13
0.350000000000,0.0691142962347,3.60552810178e-14,-2.24567839072e-14,0.318138940306,4.27742417380e-14,-1.50001919628e-14
0.400000000000,0.0921272499199,3.66863040551e-14,-2.27482431984e-14,0.460259073705,2.30905460896e-14,-5.82918582503e-15
0.450000000000,0.115473841990,3.59251385868e-14,-2.18935980456e-14,0.466931841401,-5.00049131509e-15,1.70929030567e-14
0.500000000000,0.137406178120,3.42922534746e-14,-2.04748498857e-14,0.438646722591,-2.36764764460e-14,2.83749631978e-14
0.550000000000,0.148025223071,3.30485172336e-14,-1.95983580242e-14,0.212380899033,-2.07124079235e-14,1.75298372309e-14
0.600000000000,0.158644268023,3.18047809926e-14,-1.87218661626e-14,0.212380899033,-2.08985580530e-14,1.75298372309e-14
0.650000000000,0.221171875464,2.15108514498e-14,-1.15019105351e-14,1.25055214883,-1.91494851921e-13,1.44399112550e-13
0.700000000000,0.254932657995,1.52333013707e-14,-7.72715225139e-15,0.675215650620,-1.20333507446e-13,7.54951656745e-14
0.750000000000,0.290671837714,8.00079971123e-15,-3.10862446895e-15,0.714783594370,-1.42428039419e-13,9.23705556488e-14
0.800000000000,0.328505504529,-1.86348139168e-16,1.53165462173e-15,0.756673336307,-1.64901919221e-13,9.28055818136e-14
0.850000000000,0.368731856404,-9.38406118951e-15,6.99440505514e-15,0.804527037501,-1.89581448985e-13,1.09255008668e-13
0.900000000000,0.410375596440,-1.93440512350e-14,1.26202903003e-14,0.832874800707,-2.09710922679e-13,1.12517704904e-13
0.950000000000,0.453361032951,-3.00147096084e-14,1.84539252566e-14,0.859708730217,-2.29278168118e-13,1.16672699125e-13
1.00000000000,0.495029020639,-4.06718252153e-14,2.42861286637e-14,0.833359753760,-2.33381394340e-13,1.16644068142e-13
1.05000000000,0.543853480587,-5.35122534641e-14,3.12090778752e-14,0.976489198969,-2.87283892432e-13,1.38458984231e-13
1.10000000000,0.594205383034,-6.70784778021e-14,3.80550292133e-14,1.00703804894,-3.09647349131e-13,1.36919026762e-13
1.15000000000,0.643396240778,-8.06043843692e-14,4.51270226860e-14,0.983817154879,-3.14914870409e-13,1.41439869455e-13
1.20000000000,0.696580202411,-9.54998605822e-14,5.27808249781e-14,1.06367923268,-3.54051391672e-13,1.53076045841e-13
1.25000000000,0.747686086086,-1.10041160773e-13,5.96855898038e-14,1.02211767349,-3.51831700004e-13,1.38095296515e-13
1.30000000000,0.806669406938,-1.27086269743e-13,6.78585727914e-14,1.17966641704,-4.20952658834e-13,1.63459659751e-13
1.35000000000,0.861972932402,-1.43287478884e-13,7.55343500166e-14,1.10607050928,-4.07570499816e-13,1.53515544503e-13
1.40000000000,0.918972516385,-1.60193032911e-13,8.34088353940e-14,1.13999167966,-4.33196458891e-13,1.57489707550e-13
1.45000000000,0.976955628348,-1.77588996001e-13,9.13733735140e-14,1.15966223926,-4.53881512745e-13,1.59290762399e-13
1.50000000000,1.03336059367,-1.94688141484e-13,9.94003933537e-14,1.12809930644,-4.54116424447e-13,1.60540396794e-13
1.55000000000,1.09855329690,-2.14669489872e-13,1.08313358282e-13,1.30385406469,-5.40851780227e-13,1.78259298575e-13
1.60000000000,1.16248016856,-2.34470690630e-13,1.17045262371e-13,1.27853743312,-5.45670764461e-13,1.74638081774e-13
1.65000000000,1.22960602008,-2.55485389061e-13,1.26130398643e-13,1.34251703034,-5.89626176858e-13,1.81702725428e-13
1.70000000000,1.29569160918,-2.76390264198e-13,1.35237732962e-13,1.32171178196,-5.96842807763e-13,1.82146686387e-13
1.75000000000,1.36020146862,-2.96997293451e-13,1.44057101848e-13,1.29019718883,-5.98002652892e-13,1.76387377728e-13
1.80000000000,1.42951383036,-3.19363369516e-13,1.53667928055e-13,1.38624723480,-6.60343261648e-13,1.92216524143e-13
1.85000000000,1.49903510101,-3.42025696852e-13,1.63013810488e-13,1.39042541300,-6.79905091478e-13,1.86917648652e-13
1.90000000000,1.57296603757,-3.66380660481e-13,1.73020639210e-13,1.47861873132,-7.42930830637e-13,2.00136574443e-13
1.95000000000,1.64331258318,-3.89791151826e-13,1.82606067020e-13,1.40693091210,-7.25123947323e-13,1.91708556186e-13
2.00000000000,1.71485907556,-4.13840374568e-13,1.92420153885e-13,1.43092984774,-7.56324196334e-13,1.96281737302e-13
2.05000000000,1.79050501781,-4.39530833002e-13,2.02818893755e-13,1.51291884490,-8.20657695152e-13,2.07974797412e-13
2.10000000000,1.86387782384,-4.64700953005e-13,2.12807549360e-13,1.46745612070,-8.15688140881e-13,1.99773112099e-13
2.15000000000,1.94348757258,-4.92300580141e-13,2.23729081238e-13,1.59219497461,-9.08212861549e-13,2.18430637562e-13
2.20000000000,2.01186781471,-5.16230838152e-13,2.33202346323e-13,1.36760484276,-7.97533818393e-13,1.89465301685e-13
2.25000000000,2.09383164802,-5.45220180833e-13,2.44768744280e-13,1.63927666608,-9.81030544716e-13,2.31327959152e-13
2.30000000000,2.17623980023,-5.74677217410e-13,2.56101219896e-13,1.64816304434,-1.01123729778e-12,2.26649512308e-13
2.35000000000,2.25362393656,-6.02617155932e-13,2.66826749820e-13,1.54768272647,-9.71761922096e-13,2.14510598499e-13
2.40000000000,2.33739257862,-6.33179739398e-13,2.78532752418e-13,1.67537284125,-1.07789787812e-12,2.34120051950e-13
2.45000000000,2.41389245726,-6.61363023415e-13,2.89275849651e-13,1.52999757279,-1.00625702817e-12,2.14861944661e-13
2.50000000000,2.50284228121,-6.94491640219e-13,3.01625391330e-13,1.77899647901,-1.19916284524e-12,2.46990833583e-13
2.55000000000,2.58535961989,-7.25549579126e-13,3.13042521198e-13,1.65034677364,-1.13778749301e-12,2.28342597356e-13
2.60000000000,2.66514065366,-7.55881641985e-13,3.24315100520e-13,1.59562067535,-1.12412513689e-12,2.25451586446e-13
2.65000000000,2.76190746195,-7.93107433089e-13,3.37896377545e-13,1.93533616577,-1.39845890184e-12,2.71625540488e-13
2.70000000000,2.84097086126,-8.23839868074e-13,3.49122091780e-13,1.58126798619,-1.16670428670e-12,2.24514284715e-13
2.75000000000,2.93047110870,-8.59008103219e-13,3.62043728330e-13,1.79000494875,-1.35142476828e-12,2.58432730997e-13
2.80000000000,3.02277925243,-8.95690057330e-13,3.75108927371e-13,1.84616287469,-1.42615125788e-12,2.61303980817e-13
2.85000000000,3.11279722248,-9.31859106118e-13,3.88020999347e-13,1.80035940102,-1.42195822973e-12,2.58241439514e-13
2.90000000000,3.19300369865,-9.64408062515e-13,3.99769106707e-13,1.60412952331,-1.29226055453e-12,2.34962147205e-13
